Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,num_academia,num_company
0,Relational Partially Observable MDPs,Tufts University,Tufts University,,,,,,,,,,,,,,2.0,0.0
1,Accounting Mechanisms for Distributed Work Systems,"School of Engineering & Applied Sciences Harvard University Cambridge, MA 0213","University of California, Berkeley","School of Engineering & Applied Sciences Harvard University Cambridge, MA 0213",,,,,,,,,,,,,1.0,0.0
2,g-Planner: Real-Time Motion Planning and Global Navigation Using GPUs,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,,,,,,,,,,,,,3.0,0.0
3,Conformal Mapping by Computationally Efficient Methods,University of Waterloo,University of Waterloo,,,,,,,,,,,,,,2.0,0.0
4,News Recommendation in Forum-Based Social Media,Texas Tech University,Southwestern University of Finance and Economics,Memorial University of Newfoundland,Southwestern University of Finance and Economics,,,,,,,,,,,,4.0,0.0
5,A Lower Bound on the Size of Decomposable Negation Normal Form,"University of California, Los Angeles","University of California, Los Angeles",,,,,,,,,,,,,,2.0,0.0
6,A Cross-Entropy Method that Optimizes Partially Decomposable Problems: A New Way to Interpret NMR Spectra,Alberta Hospital Edmonton,Alberta Hospital Edmonton,Alberta Hospital Edmonton,,,,,,,,,,,,,3.0,0.0
7,"A Wiki with Multiagent Tracking, Modeling, and Coalition Formation",University of Nebraska–Lincoln,University of Nebraska–Lincoln,,,,,,,,,,,,,,2.0,0.0
8,A Stronger Consistency for Soft Global Constraints in Weighted Constraint Satisfaction,Chinese University of Hong Kong,Chinese University of Hong Kong,,,,,,,,,,,,,,2.0,0.0
9,Generalized Task Markets for Human and Machine Computation,Carnegie Mellon University,Microsoft (United States),,,,,,,,,,,,,,1.0,1.0
10,A Bayesian Nonparametric Approach to Modeling Mobility Patterns,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,,,,,,,,,,,,3.0,0.0
11,Dominance Testing Via Model Checking,Iowa State University,Iowa State University,Iowa State University,Iowa State University,,,,,,,,,,,,4.0,0.0
12,A Phrase-Based Method for Hierarchical Clustering of Web Snippets,Department of Computer Science University of Vermon,Department of Computer Science University of Vermon,,,,,,,,,,,,,,2.0,0.0
13,Efficient Belief Propagation for Utility Maximization and Repeated Inference,University of Washington,University of Washington,,,,,,,,,,,,,,2.0,0.0
14,Supporting Wilderness Search and Rescue with Integrated Intelligence: Autonomy and Information at the Right Time and the Right Place,Brigham Young University,Brigham Young University,Brigham Young University,Brigham Young University,,,,,,,,,,,,4.0,0.0
15,Computationally Feasible Automated Mechanism Design: General Approach and Case Studies *,Duke University,Duke University,,,,,,,,,,,,,,2.0,0.0
16,Facilitating the Evaluation of Automated Negotiators Using Peer Designed Agents *,Bar-Ilan University,Bar-Ilan University,"University of Maryland, College Park",Bar-Ilan University,Ben-Gurion University of the Negev,,,,,,,,,,,5.0,0.0
17,On the Reputation of Agent-Based Web Services,Concordia University,Concordia University,Concordia University,University of Namur,,,,,,,,,,,,4.0,0.0
18,Optimal Rectangle Packing on Non-Square Benchmarks,"University of California, Los Angeles","University of California, Los Angeles",,,,,,,,,,,,,,2.0,0.0
19,Model AI Assignments,"University of California, Berkeley",University of Southern California,Harvey Mudd College,University of British Columbia,University of San Francisco,,,,,,,,,,,5.0,0.0
20,Probabilistic Plan Recognition Using Off-the-Shelf Classical Planners,Pompeu Fabra University,Institució Catalana de Recerca i Estudis Avançats,,,,,,,,,,,,,,2.0,0.0
21,Automated Program Debugging via Multiple Predicate Switching,Sun Yat-sen University,Sun Yat-sen University,,,,,,,,,,,,,,2.0,0.0
22,.6-Bit Pattern Databases,"University of California, Los Angeles","University of California, Los Angeles",,,,,,,,,,,,,,2.0,0.0
23,Online Learning of Uneven Terrain for Humanoid Bipedal Walking,University of Pennsylvania,Seoul National University,University of Pennsylvania,,,,,,,,,,,,,3.0,0.0
24,Intentions in Equilibrium *, Department of Mathematics,Towson University,"University of Maryland, College Park",Towson University,"University of Maryland, College Park",Computer Science Department,Bar-Ilan University,University of Liverpool,,,,,,,,4.0,0.0
25,A Topic Model for Linked Documents and Update Rules for Its Estimation," NEC Laboratories America, Inc., 10080 N. Wolfe Rd. SW3-350, Cupertino, CA 9501"," NEC Laboratories America, Inc., 10080 N. Wolfe Rd. SW3-350, Cupertino, CA 9501"," NEC Laboratories America, Inc., 10080 N. Wolfe Rd. SW3-350, Cupertino, CA 9501",Binghamton University,,,,,,,,,,,,1.0,1.0
26,Automated Modelling and Solving in Constraint Programming,University College Cork,,,,,,,,,,,,,,,1.0,0.0
27,Multi-Instance Dimensionality Reduction,Nanjing University,Hong Kong Baptist University,Nanjing University,,,,,,,,,,,,,3.0,0.0
28,A Course-Long Information Retrieval Project,Pomona College,,,,,,,,,,,,,,,1.0,0.0
29,A New Algorithm for Weighted Partial MaxSAT *,"DIEI, UdL Jaume II 69, Lleida, Spai",University of Helsinki,Research Institute for Artificial Intelligence,,,,,,,,,,,,,3.0,0.0
30,A General Game Description Language for Incomplete Information Games,UNSW Sydney,,,,,,,,,,,,,,,1.0,0.0
31,Task Space Behavior Learning for Humanoid Robots Using Gaussian Mixture Models,"Rutgers, The State University of New Jersey",,,,,,,,,,,,,,,1.0,0.0
32,The Model-based Approach to Autonomous Behavior: A Personal View,Institució Catalana de Recerca i Estudis Avançats,,,,,,,,,,,,,,,1.0,0.0
33,Assisting Users with Clustering Tasks by Combining Metric Learning and Classification,Microsoft (United States),Microsoft (United States),Microsoft (United States),University of Washington,,,,,,,,,,,,1.0,3.0
34,"Truth, Justice, and Cake Cutting",,,,,,,,,,,,,,,,0.0,0.0
35,Sentiment Analysis with Global Topics and Local Dependency,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,3.0,0.0
36,A Decentralised Coordination Algorithm for Mobile Sensors,University of Southampton,University of Southampton,University of Southampton,University of Southampton,,,,,,,,,,,,4.0,0.0
37,Decomposed Utility Functions and Graphical Models for Reasoning about Preferences *,Computer Science Department,Technion – Israel Institute of Technology,,,,,,,,,,,,,,1.0,0.0
38,Hydra: Automatically Configuring Algorithms for Portfolio-Based Selection,University of British Columbia,University of British Columbia,University of British Columbia,,,,,,,,,,,,,3.0,0.0
39,Bidirectional Integration of Pipeline Models *,Chinese University of Hong Kong,Chinese University of Hong Kong,,,,,,,,,,,,,,2.0,0.0
40,Reinforcement Learning via AIXI Approximation,University of NSW & NICT,University College London,,,,,,,,,,,,,,1.0,0.0
41,Lazy Theta*: Any-Angle Path Planning and Path Length Analysis in 3D,University of Southern California,Georgia Institute of Technology,,,,,,,,,,,,,,2.0,0.0
42,Nonnegative Matrix Factorization Clustering on Multiple Manifolds,Purdue University West Lafayette,Purdue University West Lafayette,,,,,,,,,,,,,,2.0,0.0
43,What Is an Opinion About? Exploring Political Standpoints Using Opinion Scoring Model,Regional Information Center for Science and Technology,Regional Information Center for Science and Technology,Pennsylvania State University,Regional Information Center for Science and Technology,,,,,,,,,,,,1.0,0.0
44,Optimal Social Trust Path Selection in Complex Social Networks,Macquarie University,Macquarie University,Macquarie University,,,,,,,,,,,,,3.0,0.0
45,Ontologies and Representations of Matter,New York University,,,,,,,,,,,,,,,1.0,0.0
46,Finding Semantic Inconsistencies in UMLS Using Answer Set Programming,Sabancı University,United States National Library of Medicine,National Institutes of Health,Sabancı University,,,,,,,,,,,,4.0,0.0
47,Voting Almost Maximizes Social Welfare Despite Limited Communication,OMERACT Patient Research Partner Network,University of Patras,Harvard University,,,,,,,,,,,,,2.0,0.0
48,Gaussian Process Latent Random Field,Chinese Academy of Sciences,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Chinese Academy of Sciences,Chinese Academy of Sciences,,,,,,,,,,,5.0,0.0
49,Utilizing Context in Generative Bayesian Models for Linked Corpus,Pennsylvania State University,Pennsylvania State University,Pennsylvania State University,,,,,,,,,,,,,3.0,0.0
50,Transfer Learning in Collaborative Filtering for Sparsity Reduction,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,,,,,,,,,,,,4.0,0.0
51,"Sentiment Extraction: Integrating Statistical Parsing, Semantic Analysis, and Common Sense Reasoning","Center for Knowledge Driven Information Systems, Software Engineering and Technology Labs Infosys Technologies Ltd., Bangalore, Indi","Center for Knowledge Driven Information Systems, Software Engineering and Technology Labs Infosys Technologies Ltd., Bangalore, Indi","Center for Knowledge Driven Information Systems, Software Engineering and Technology Labs Infosys Technologies Ltd., Bangalore, Indi","Center for Knowledge Driven Information Systems, Software Engineering and Technology Labs Infosys Technologies Ltd., Bangalore, Indi","Center for Knowledge Driven Information Systems, Software Engineering and Technology Labs Infosys Technologies Ltd., Bangalore, Indi",,,,,,,,,,,0.0,5.0
52,Panlingual Lexical Translation via Probabilistic Inference,University of Washington,University of Washington,University of Washington,,,,,,,,,,,,,3.0,0.0
53,Exact Algorithms and Experiments for Hierarchical Tree Clustering,Saarland University,Friedrich Schiller University Jena,Friedrich Schiller University Jena,Friedrich Schiller University Jena,Friedrich Schiller University Jena,,,,,,,,,,,5.0,0.0
54,Competing Schedulers,"Harvard Business School Harvard, MA, US",Microsoft (Israel),Faculty of Industrial Eng. and Management Technion-Israe,"Institute of Technology Haifa, Israe",Hebrew University of Jerusalem,Microsoft (Israel),,,,,,,,,,1.0,2.0
55,Computing Cost-Optimal Definitely Discriminating Tests,University College Cork,Data61,Technical University of Munich,,,,,,,,,,,,,3.0,0.0
56,Latent Class Models for Algorithm Portfolio Methods,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,,,,2.0,0.0
57,Beyond Equilibrium: Predicting Human Behavior in Normal-Form Games,University of British Columbia,University of British Columbia,,,,,,,,,,,,,,2.0,0.0
58,Learning from Sensors and Past Experience in an Autonomous Oceanographic Probe,Spanish National Research Council,Spanish National Research Council,Spanish National Research Council,,,,,,,,,,,,,3.0,0.0
59,An Action Research Report from a Multi-Year Approach to Teaching Artificial Intelligence at the K-6 Level,Defence Science and Technology Group,Education and Early Childhood Development,Education and Early Childhood Development,,,,,,,,,,,,,3.0,0.0
60,Gaussian Mixture Model with Local Consistency,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,,,,,,,,3.0,0.0
61,Towards Multiagent Meta-Level Control,University of North Carolina at Charlotte,"University City Blvd, Charlotte, NC 2822",University of Massachusetts Amherst,,,,,,,,,,,,,2.0,0.0
62,Space Efficient Evaluation of ASP Programs with Bounded Predicate Arities *,"Institute of Information Systems Vienna University of Technology Favoritenstraße 9-11, Vienna, Austri",University of Calabria,"Institute of Information Systems Vienna University of Technology Favoritenstraße 9-11, Vienna, Austri",,,,,,,,,,,,,3.0,0.0
63,Planning in Dynamic Environments: Extending HTNs with Nonlinear Continuous Effects,Knexus Research (United States),United States Naval Research Laboratory,United States Naval Research Laboratory,,,,,,,,,,,,,2.0,1.0
64,Design Privacy with Analogia Graph,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,3.0,0.0
65,Fixing a Tournament,"Computer Science Division UC Berkeley Berkeley, California 9472",,,,,,,,,,,,,,,1.0,0.0
66,Multi-Agent Learning with Policy Prediction,University of Massachusetts Amherst,University of Massachusetts Amherst,,,,,,,,,,,,,,2.0,0.0
67,Modeling Dynamic Multi-Topic Discussions in Online Forums,Zhejiang Provincial Health Information Center,Zhejiang University,,,,,,,,,,,,,,2.0,0.0
68,Using Imagery to Simplify Perceptual Abstraction in Reinforcement Learning Agents,University of Michigan–Ann Arbor,,,,,,,,,,,,,,,1.0,0.0
69,A Restriction of Extended Resolution for Clause Learning SAT Solvers *,University of Lille,University of Lille,"Univ. Paris-Sud LRI/CNRS UMR 8623 / INRIA Saclay Orsay, F-91405, Franc",,,,,,,,,,,,,3.0,0.0
70,Predicting Structural and Functional Sites in Proteins by Searching for Maximum-Weight Cliques,University of Trento,University of Trento,University of Trento,University of Trento,,,,,,,,,,,,4.0,0.0
71,AI-Based Software Defect Predictors: Applications and Benefits in a Case Study,Boğaziçi University,Borsa Istanbul (Turkey),,,,,,,,,,,,,,1.0,0.0
