Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,num_academia,num_company
0,Exploiting Problem Symmetries in State-Based Planners,Hebrew University of Jerusalem,"Microsoft Research Silicon Valley Mountain View, C",Hebrew University of Jerusalem,,,,,,,,,,2.0,0.0
1,Multiple-Instance Learning: Multiple Feature Selection on Instance Representation,National Taiwan University,"Institute of Information Science, Academia Sinica",National Taiwan University,"Institute of Information Science, Academia Sinica",,,,,,,,,4.0,0.0
2,The News that Matters to You Design and Deployment of a Personalized News Service,Palo Alto Research Center,"Google, 6425 Penn Avenue, Suite 700, Pittsburgh, PA 1520",,,,,,,,,,,1.0,0.0
3,Extending Classical Planning Heuristics to Probabilistic Planning with Dead-Ends,"ONERA -The French Aerospace Lab F-31055, Toulouse, Franc","ONERA -The French Aerospace Lab F-31055, Toulouse, Franc","ONERA -The French Aerospace Lab F-31055, Toulouse, Franc",,,,,,,,,,3.0,0.0
4,A Semantical Account of Progression in the Presence of Uncertainty,RWTH Aachen University,RWTH Aachen University,,,,,,,,,,,2.0,0.0
5,Latent Semantic Learning by Efficient Sparse Coding with Hypergraph Regularization,Peking University,Peking University,,,,,,,,,,,2.0,0.0
6,Accelerating the Discovery of Data Quality Rules: A Case Study,San Jose State University,San Jose State University,San Jose State University,San Jose State University,,,,,,,,,4.0,0.0
7,Fast Newton-CG Method for Batch Learning of Conditional Random Fields,IBM Research - Tokyo,The University of Tokyo,The University of Tokyo,Tohoku University,,,,,,,,,4.0,0.0
8,Optimal Route Planning for Electric Vehicles in Large Networks,University of Stuttgart,University of Stuttgart,University of Stuttgart,,,,,,,,,,3.0,0.0
9,Tree Sequence Kernel for Natural Language,National University of Singapore,National University of Singapore,National University of Singapore,,,,,,,,,,3.0,0.0
10,Learning a Kernel for Multi-Task Clustering,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,,,,,,,,,,3.0,0.0
11,Progression Semantics for Disjunctive Logic Programs,Western Sydney University,Western Sydney University,,,,,,,,,,,2.0,0.0
12,Linear Dynamic Programs for Resource Management,IBM Research - Thomas J. Watson Research Center,University of Massachusetts Amherst,,,,,,,,,,,2.0,0.0
13,Transfer Latent Semantic Learning: Microblog Mining with Less Supervision,University of Southern California,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,Purdue University West Lafayette,,,,,,,,,4.0,0.0
14,Non-Parametric Approximate Linear Programming for MDPs,Duke University,Duke University,,,,,,,,,,,2.0,0.0
15,Contextually-Based Utility: An Appraisal-Based Approach at Modeling Framing and Decisions,University of Southern California,University of Southern California,,,,,,,,,,,2.0,0.0
16,Tracking User-Preference Varying Speed in Collaborative Filtering,Fudan University Shanghai Cancer Center,University of Technology Sydney,Fudan University Shanghai Cancer Center,Fudan University Shanghai Cancer Center,University of Technology Sydney,,,,,,,,2.0,0.0
17,NewsFinder: Automating an Artificial Intelligence News Service,Clemson University,Marathon Oil (United States),University of Pittsburgh,,,,,,,,,,2.0,1.0
