Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,inst26,inst27,inst28,inst29,inst30,inst31,inst32,inst33,inst34,inst35,num_academia,num_company
0,Does One-Against-All or One-Against-One Improve the Performance of Multiclass Classifications?,University of Central Arkansas,University of Central Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
1,Mixed Observability Predictive State Representations,McGill University,McGill University,McGill University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
2,Generating Natural-Language Video Descriptions Using Text-Mined Knowledge,The University of Texas at Austin,The University of Texas at Austin,The University of Texas at Austin,University of Massachusetts Lowell,"University of California, Berkeley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
3,TONIC: Target Oriented Network Intelligence Collection for the Social Web,Harvard University,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
4,HC-Search: Learning Heuristics and Cost Functions for Structured Prediction,Oregon State University,Oregon State University,Oregon State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
5,Cost-Optimal Planning by Self-Interested Agents,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
6,Decoupling the Multiagent Disjunctive Temporal Problem,Massachusetts Institute of Technology,University of Michigan–Ann Arbor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
7,Heterogeneous Metric Learning with Joint Graph Regularization for Cross-Media Retrieval,Peking University,Peking University,Peking University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
8,On the Social Welfare of Mechanisms for Repeated Batch Matching *,Rensselaer Polytechnic Institute,Virginia Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
9,"This year, AAAI's Conference on Artificial Intelligence honors the following papers that exemplify high standards in technical contribution and exposition. Candidate papers for the AAAI-13 awards were selected based on overall ratings and nominations by the PC and Senior PC. A committee composed of the Program Cochairs and several Associate Chairs and Senior Program Committee Members reviewed all candidate papers and selected the winning papers. This year, two papers were selected for their exceptional quality in all review categories. In addition, four papers were selected for honorable mention, based on their overall high quality and particularly outstanding contributions in specific areas. Outstanding Paper Awards SMILe: Shuffled Multiple-Instance Learning",Ben-Gurion University of the Negev,"David Pynadath (USC Institute for Creative Technologies, USA",American University of Beirut,University of Oxford,University of Basel,"Kristian Kersting (Fraunhofer IAIS and University of Bonn, Germany",Ben-Gurion University of the Negev,University of Basel,IBM Research - Thomas J. Watson Research Center,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0
10,Learning about Representational Modality: Design and Programming Projects for Knowledge-Based AI,Georgia Institute of Technology,Georgia Institute of Technology,Georgia Institute of Technology,Georgia Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
11,Tools for Preference Reasoning,University of Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
12,Red-Black Relaxed Plan Heuristics,Saarland University,Saarland University,University of Haifa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
13,Making Simple Tabular Reduction Works on Negative Table Constraints,Jilin University,Jilin University,Jilin University,Jilin University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
14,Resolution and Parallelizability: Barriers to the Efficient Parallelization of SAT Solvers,Military Institute of Armament Technology,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,University of Paris-Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
15,Better Human Computation Through Principled Voting,Harvard University,Carnegie Mellon University,Harvard University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
16,Answering Counting Aggregate Queries over Ontologies of the DL-Lite Family,University of Edinburgh,PUC Chile and University of Edinburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
17,Multiscale Manifold Learning,IBM Research - Thomas J. Watson Research Center,University of Massachusetts Amherst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
18,Sensitivity of Diffusion Dynamics to Network Uncertainty,Bioinformatics Institute,"Virginia Tech, VA 2406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
19,Active Task Selection for Lifelong Machine Learning,Bryn Mawr College,Bryn Mawr College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
20,An Optimal Task Assignment Policy and Performance Diagnosis Strategy for Heterogeneous Hadoop Cluster,Palo Alto Research Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
21,Optimal Coalition Structure Generation in Cooperative Graph Games,Microsoft Research (United Kingdom),Microsoft Research (United Kingdom),"Ministry of Education, Science and Technology",Massachusetts Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0
22,Learning to Rank Effective Paraphrases from Query Logs for Community Question Answering,Pontificia Universidad Católica de Chile,German Research Centre for Artificial Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
23,Data-Parallel Computing Meets STRIPS,Technion – Israel Institute of Technology,Technion – Israel Institute of Technology,Technion – Israel Institute of Technology,Technion – Israel Institute of Technology,Technion – Israel Institute of Technology,"Microsoft Research & Technion Microsoft -Herzliya R&D Center 13 Shenkar St. Gav-Yam, Building No. 5 Herzliya 46275, Israe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
24,Artificial Conversational Companions,University of Luxembourg,"Department of Computer Science and Communication, ILIAS Laboratory -MINE Research Group 6 rue Coudenhove-Kalergi, L-1359 Luxembour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
25,Lazy Gaussian Process Committee for Real-Time Online Regression,Technical University of Munich,Technical University of Munich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
26,Grounded Language Learning,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
27,Automatic Identification of Conceptual Metaphors with Limited Knowledge,Illinois Institute of Technology,Center for Advanced Defense Studies,Center for Advanced Defense Studies,Georgetown University,Massachusetts Institute of Technology,Howard Brain Sciences Foundation,Bar-Ilan University,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,Illinois Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0
28,WordNet Based Multi-Way Concept Hierarchy Construction from Text Corpus,Zhejiang University,{10921014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
29,Detection and Prediction of Adverse and Anomalous Events in Medical Robots,Case Western Reserve University,Case Western Reserve University,Case Western Reserve University,Case Western Reserve University,Case Western Reserve University,Case Western Reserve University,Case Western Reserve University,Case Western Reserve University,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0
30,Solving Security Games on Graphs via Marginal Probabilities,Duke University,Duke University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
31,A Robust Bayesian Truth Serum for Non-Binary Signals,École Polytechnique Fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
32,Creating Model-Based Adaptive Environments Using Game-Specific and Game-Independent Analytics,North Carolina State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
33,Robust Discrete Matrix Completion,The University of Texas at Arlington,The University of Texas at Arlington,The University of Texas at Arlington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
34,Greedy or Not? Best Improving versus First Improving Stochastic Local Search for MAXSAT,Colorado State University,Colorado State University,Colorado State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
35,Not Quite the Same: Identity Constraints for the Web of Linked Data,Lawrence Berkeley National Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
36,Mixed Heuristic Local Search for Protein Structure Prediction,Data61,Griffith University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
37,A Temporal Motif Mining Approach to Unsupervised Energy Disaggregation: Applications to Residential and Commercial Buildings,Virginia Tech,Virginia Tech," Sustainable Ecosystems Research Group, HP Labs, Palo Alto, CA 9430",Virginia Tech,Virginia Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0
38,Multiagent Router Throttling: Decentralized Coordinated Response Against DDoS Attacks,University of York,University of York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
39,PAC Optimal Planning for Invasive Species Management: Improved Exploration for Reinforcement Learning from Simulator-Defined MDPs,Oregon State University,Oregon State University,Oregon State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
40,A Kernel Density Estimate-Based Approach to Component Goodness Modeling, Department of Informatics Engineering ‡ HASLab / INESC Te,University of Porto, Department of Informatics Engineering ‡ HASLab / INESC Te,University of Porto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
41,Detecting the Moment of Snap in Real-World Football Videos,Oregon State University Cascades,Oregon State University Cascades,Oregon State University Cascades,Oregon State University Cascades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
42,Timed Probabilistic Automaton: Bridge between Automatic Species Recognition,Queensland University of Technology,Queensland University of Technology,Queensland University of Technology,Queensland University of Technology,Queensland University of Technology,Queensland University of Technology,Queensland University of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0
43,Multiagent Knowledge and Belief Change in the Situation Calculus,Sun Yat-sen University,Sun Yat-sen University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
44,Integrating Digital Pens in Breast Imaging for Instant Knowledge Acquisition,"German Research Center for AI Stuhlsatzenhausweg 3 66123 Saarbrücken, German","German Research Center for AI Stuhlsatzenhausweg 3 66123 Saarbrücken, German",Universitätsklinikum Erlangen,Universitätsklinikum Erlangen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
45,Train Outstable Scheduling as Constraint Satisfaction,City University of Hong Kong,City University of Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
46,Temporal Milestones in HTNs *,"Raytheon BBN Technologies, 10 Moulton St, Cambridge, MA 0213","Raytheon BBN Technologies, 10 Moulton St, Cambridge, MA 0213","Raytheon BBN Technologies, 10 Moulton St, Cambridge, MA 0213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
47,The Automated Acquisition of Suggestions from Tweets,"SKLSDE, Beihang Universit",Microsoft Research Asia (China),University of Science and Technology of China,Microsoft Research Asia (China),Microsoft Research Asia (China),"SKLSDE, Beihang Universit",Microsoft Research Asia (China),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0
48,Compact RGBD Surface Models Based on Sparse Coding,University of Freiburg,ISTC-PC Intel Lab,University of Washington,University of Freiburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0
49,Interdependent Multi-Issue Negotiation for Energy Exchange in Remote Communities,University of Southampton,University of Southampton,University of Southampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
50,Negotiated Learning for Smart Grid Agents: Entity Selection Based on Dynamic Partially Observable Features,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
51,Enabling E-Mobility: Facility Location for Battery Loading Stations,University of Freiburg,University of Stuttgart,University of Stuttgart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
