Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,num_academia,num_company
0,Latent Domains Modeling for Visual Domain Adaptation,,,,,,,,,,,,,,0.0,0.0
1,Learning Compositional Sparse Models of Bimodal Percepts *,"University at Buffalo, State University of New York","University at Buffalo, State University of New York","University at Buffalo, State University of New York",,,,,,,,,,,3.0,0.0
2,Relational One-Class Classification: A Non-Parametric Approach,Indiana University,University of Wisconsin–Madison,,,,,,,,,,,,2.0,0.0
3,On Detecting Nearly Structured Preference Profiles,University of Oxford,University of Vienna,,,,,,,,,,,,2.0,0.0
4,Robust Multi-View Spectral Clustering via Low-Rank and Sparse Decomposition,Wuhan University,Nanjing University of Posts and Telecommunications,Wuhan University,Nanjing University of Posts and Telecommunications,Institute of Computing Technology,Nanjing University of Posts and Telecommunications,Nanjing University of Posts and Telecommunications,,,,,,,7.0,0.0
5,A Unified Framework for Augmented Reality and Knowledge-Based Systems in Maintaining Aircraft,Inha University,Inha University,Inha University,Inha University,Inha University,University of Southern California,University of Southern California,,,,,,,7.0,0.0
6,Learning to Recognize Novel Objects in One Shot through Human-Robot Interactions in Natural Language Dialogues,Tufts University,"Inst. for Automation and Control Technical University Vienna Gusshausstr 27-29/E376 1040 Vienna, Austri",Tufts University,Tufts University,,,,,,,,,,3.0,0.0
7,Schedule-Based Robotic Search for Multiple Residents in a Retirement Home Environment,University of Toronto,University of Toronto,University of Toronto,,,,,,,,,,,3.0,0.0
8,Internally Stable Matchings and Exchanges ⇤,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,3.0,0.0
9,The Importance of Cognition and Affect for Artificially Intelligent Decision Makers,University of Southern California,University of Southern California,University of Southern California,,,,,,,,,,,3.0,0.0
10,Reputation-Aware Continuous Double Auction,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,,,,,,,,,,4.0,0.0
11,Modal Ranking: A Uniquely Robust Voting Rule,University of Patras,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,3.0,0.0
12,Labeling Complicated Objects: Multi-View Multi-Instance Multi-Label Learning ⇤,Nanjing University,Universidad de Ingeniería y Tecnología,Nanjing University,Chinese Academy of Sciences,Nanjing University,,,,,,,,,5.0,0.0
13,Signed Laplacian Embedding for Supervised Dimension Reduction,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,,,,,,,,,,4.0,0.0
14,Pre-Trained Multi-View Word Embedding Using Two-side Neural Network,Peking University,Peking University,Microsoft Research Asia (China),Peking University,Microsoft Research Asia (China),Microsoft Research Asia (China),,,,,,,,3.0,3.0
15,Fast Multi-Instance Multi-Label Learning *,Nanjing University,Nanjing University,Nanjing University,,,,,,,,,,,3.0,0.0
16,A Relevance-Based Compilation Method for Conformant Probabilistic Planning,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,,,,,,,,,,,,2.0,0.0
17,A Region-Based Model for Estimating Urban Air Pollution,École Polytechnique Fédérale de Lausanne,Australian National University,École Polytechnique Fédérale de Lausanne,,,,,,,,,,,3.0,0.0
18,Two Case Studies for Trading Multiple Indivisible Goods with Indifferences,Kyushu University,Kyushu University,Kyushu University,Kyushu University,,,,,,,,,,4.0,0.0
19,Shallow Blue: Lego-Based Embodied AI as a Platform for Cross-Curricular Project Based Learning,Canisius College,Canisius College,,,,,,,,,,,,2.0,0.0
20,Point-Based POMDP Solving with Factored Value Function Approximation,University of Lisbon,Delft University of Technology,University of Lisbon,,,,,,,,,,,3.0,0.0
21,A Framework for Task Planning in Heterogeneous Multi Robot Systems based on Robot Capabilities,UNSW Sydney,UNSW Sydney,,,,,,,,,,,,2.0,0.0
22,On Dataless Hierarchical Text Classification,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,,,,,,,,,,,,2.0,0.0
23,Optimal and Efficient Stochastic Motion Planning in Partially-Known Environments,Rice University,Rice University,Rice University,Rice University,,,,,,,,,,4.0,0.0
24,Large-Scale Supervised Multimodal Hashing with Semantic Correlation Maximization,Shanghai Jiao Tong University,Nanjing University,,,,,,,,,,,,2.0,0.0
25,Theory of Cooperation in Complex Social Networks,Maastricht University,University of Pennsylvania,Maastricht University,University of Liverpool,University of Liverpool,Maastricht University,,,,,,,,6.0,0.0
26,A Simple Polynomial-Time Randomized Distributed Algorithm for Connected Row Convex Constraints,University of Southern California,Singapore Management University,New Mexico State University,University of Southern California,,,,,,,,,,4.0,0.0
27,Learning with Augmented Class by Exploiting Unlabeled Data ⇤,Nanjing University,Nanjing University,Nanjing University,,,,,,,,,,,3.0,0.0
28,Improving Semi-Supervised Target Alignment via Label-Aware Base Kernels,"Rutgers, The State University of New Jersey"," NEC Laboratories America, Inc. 4 Independence Way, Princeton, NJ 08540 US"," NEC Laboratories America, Inc. 4 Independence Way, Princeton, NJ 08540 US","Rutgers, The State University of New Jersey",,,,,,,,,,2.0,0.0
29,Type-Based Exploration with Multiple Search Queues for Satisficing Planning,University of Alberta,University of Alberta,University of Alberta,Tokyo Institute of Technology,,,,,,,,,,4.0,0.0
30,Identifying Domain-Dependent Influential Microblog Users: A Post-Feature Based Approach,Wuhan University of Technology,Wuhan University of Technology,University of Technology Sydney,Nankai University,,,,,,,,,,4.0,0.0
31,Scheduling for Transfers in Pickup and Delivery Problems with Very Large Neighborhood Search,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,2.0,0.0
32,Detecting Information-Dense Texts in Multiple News Domains,University of Pennsylvania,University of Pennsylvania,,,,,,,,,,,,2.0,0.0
33,Mechanism Design for Mobile Geo-Location Advertising,Politecnico di Milano,Politecnico di Milano,"Microsoft Research 21 Station Road Cambridge, CB1 2FB, U",University of Southampton,,,,,,,,,,3.0,0.0
34,How Do Your Friends on Social Media Disclose Your Emotions?,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,8.0,0.0
35,Efficient Buyer Groups for Prediction-of-Use Electricity Tariffs,Heriot-Watt University,University of Southampton,University of Southampton,University of Southampton,,,,,,,,,,4.0,0.0
36,Placement of Loading Stations for Electric Vehicles: No Detours Necessary!,University of Stuttgart,University of Stuttgart,University of Freiburg,,,,,,,,,,,3.0,0.0
37,Using Response Functions to Measure Strategy Strength,University of Alberta,University of Alberta,University of Alberta,,,,,,,,,,,3.0,0.0
38,Potential-Aware Imperfect-Recall Abstraction with Earth Mover's Distance in Imperfect-Information Games,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,2.0,0.0
39,Collaborative Models for Referring Expression Generation in Situated Dialogue,Michigan State University,Michigan State University,Michigan State University,,,,,,,,,,,3.0,0.0
40,GP-Localize: Persistent Mobile Robot Localization Using Online Sparse Gaussian Process Observation Model,Singapore-MIT Alliance for Research and Technology,Singapore-MIT Alliance for Research and Technology,Singapore-MIT Alliance for Research and Technology,Singapore-MIT Alliance for Research and Technology,National University of Singapore,,,,,,,,,5.0,0.0
41,Learning Word Representation Considering Proximity and Ambiguity,Shanghai Jiao Tong University,Microsoft Research (India),Microsoft Research (India),Microsoft Research (India),Shanghai Jiao Tong University,Microsoft Research (India),,,,,,,,2.0,4.0
42,Reasoning on LTL on Finite Traces: Insensitivity to Infiniteness,Sapienza University of Rome,Sapienza University of Rome,"KRDB Research Centre for Knowledge and Data Free University of Bozen-Bolzano, Ital",,,,,,,,,,,2.0,0.0
43,Sub-Selective Quantization for Large-Scale Image Search,The University of Texas at Arlington,The University of Texas at Arlington,IBM Research - Thomas J. Watson Research Center,The University of Texas at Arlington,,,,,,,,,,4.0,0.0
44,Extending Tournament Solutions,Technical University of Munich,Duke University,University of Oxford,,,,,,,,,,,3.0,0.0
45,Tree-Based On-Line Reinforcement Learning,"Laboratório Nacional de Computac ¸ão Científica Petrópolis, RJ, Brazi","Laboratório Nacional de Computac ¸ão Científica Petrópolis, RJ, Brazi",,,,,,,,,,,,1.0,0.0
46,Learning Parametric Models for Social Infectivity in Multi-Dimensional Hawkes Processes,Georgia Institute of Technology,Georgia Institute of Technology,East China Normal University,,,,,,,,,,,3.0,0.0
47,Simultaneous Cake Cutting,Carnegie Mellon University,Aarhus University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,4.0,0.0
48,Effective Management of Electric Vehicle Storage Using Smart Charging,Erasmus University Rotterdam,Erasmus University Rotterdam,University of Minnesota,University of Connecticut,,,,,,,,,,4.0,0.0
49,Exact Subspace Clustering in Linear Time,Zhejiang University,Zhejiang University,Zhejiang University,Shanghai Jiao Tong University,,,,,,,,,,4.0,0.0
50,Programming by Example using Least General Generalizations,"Microsoft Research Cambridge 21 Station Road, Cambridge, CB1 2FB, U.K",Microsoft (United States),"Microsoft Research Cambridge 21 Station Road, Cambridge, CB1 2FB, U.K",,,,,,,,,,,0.0,1.0
51,"Where and Why Users ""Check In""",Marina Del Rey Hospital,Marina Del Rey Hospital,Marina Del Rey Hospital,,,,,,,,,,,3.0,0.0
52,Identifying Differences in Physician Communication Styles with a Log-Linear Transition Component Model,Brown University,Brown University,Brown University,Brown University,Brown University,Brown University,,,,,,,,6.0,0.0
53,Imitation Learning with Demonstrations and Shaping Rewards,Oregon State University,Oregon State University,Oregon State University,Oregon State University,,,,,,,,,,4.0,0.0
54,Efficiently Implementing GOLOG with Answer Set Programming,UNSW Sydney,,,,,,,,,,,,,1.0,0.0
55,Uncovering Hidden Structure through Parallel Problem Decomposition *,Cornell University,Cornell University,Cornell University,Cornell University,,,,,,,,,,4.0,0.0
56,Non-Linear Label Ranking for Large-Scale Prediction of Long-Term User Interests,Yahoo (United States),Yahoo (United States),Yahoo (United States),Yahoo (United States),Temple University,,,,,,,,,1.0,4.0
57,Finding Median Point-Set Using Earth Mover's Distance *,"University at Buffalo, State University of New York","University at Buffalo, State University of New York",,,,,,,,,,,,2.0,0.0
58,Contraction and Revision over DL-Lite TBoxes,Griffith University,Griffith University,Griffith University,Southeast University,Nanjing University,,,,,,,,,5.0,0.0
59,Capturing Difficulty Expressions in Student Online Q&A Discussions,"Samsung Electronics Suwon, South Kore",National Research University Higher School of Economics,,,,,,,,,,,,1.0,0.0
60,Privacy and Regression Model Preserved Learning,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,Michigan State University,,,,,,,,,,,3.0,0.0
61,On the Challenges of Physical Implementations of RBMs,Département d'Informatique,Département d'Informatique,Département d'Informatique,Département d'Informatique,,,,,,,,,,4.0,0.0
62,Encoding Tree Sparsity in Multi-Task Learning: A Probabilistic Framework,Peking University,Hong Kong Baptist University,Hong Kong Baptist University,Peking University,Peking University,,,,,,,,,5.0,0.0
63,Addressing Complexity in Multi-Issue Negotiation via Utility Hypergraphs,Nagoya Institute of Technology,Nagoya Institute of Technology,,,,,,,,,,,,2.0,0.0
64,A Propagator Design Framework for Constraints over Sequences,Uppsala University,Uppsala University,Uppsala University,,,,,,,,,,,3.0,0.0
65,Improving Context and Category Matching for Entity Search,Renmin University of China,Renmin University of China,Renmin University of China,Renmin University of China,,,,,,,,,,4.0,0.0
66,Parallel Restarted Search,Carnegie Mellon University,"Oracle America Inc. Burlington, MA 01803, US",IBM Research - Thomas J. Watson Research Center,,,,,,,,,,,2.0,0.0
67,PAC Rank Elicitation through Adaptive Sampling of Stochastic Pairwise Preferences,MTA-SZTE Research Group on Artificial Intelligence,"INRIA Lille, SequeL project, Franc",Paderborn University,,,,,,,,,,,3.0,0.0
68,Automatically Creating Multilingual Lexical Resources,University of Colorado Colorado Springs,University of Colorado Colorado Springs,,,,,,,,,,,,2.0,0.0
69,Supervised Transfer Sparse Coding,King Abdullah University of Science and Technology,"University at Buffalo, State University of New York",King Abdullah University of Science and Technology,Texas A&M University,King Abdullah University of Science and Technology,,,,,,,,,5.0,0.0
70,MaxSAT by Improved Instance-Specific Algorithm Configuration,University of Lleida,University College Cork,IBM Research - Thomas J. Watson Research Center,,,,,,,,,,,3.0,0.0
71,On Boosting Sparse Parities,University of Illinois at Chicago,,,,,,,,,,,,,1.0,0.0
72,Communication-Restricted Exploration for Small Teams,University of Minnesota,Tohoku Gakuin University,,,,,,,,,,,,2.0,0.0
73,A Data Complexity Approach to Kernel Selection for Support Vector Machines,University of Houston,University of Houston,,,,,,,,,,,,2.0,0.0
