Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,inst26,inst27,inst28,inst29,inst30,inst31,inst32,inst33,inst34,inst35,inst36,inst37,inst38,inst39,inst40,inst41,num_academia,num_company
0,Tensor-Variate Restricted Boltzmann Machines,Deakin University,Curtin University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
1,Active Advice Seeking for Inverse Reinforcement Learning,Indiana University,Indiana University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
2,On Computing Explanations in Argumentation,Imperial College London,Imperial College London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
3,Coupled Interdependent Attribute Analysis on Mixed Data,Commonwealth Scientific and Industrial Research Organisation,Commonwealth Scientific and Industrial Research Organisation,Commonwealth Scientific and Industrial Research Organisation,UNSW Sydney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
4,Colorization by Patch-Based Local Low-Rank Matrix Completion,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
5,COT: Contextual Operating Tensor for Context-Aware Recommender Systems,Chinese Academy of Sciences,Chinese Academy of Sciences,Chinese Academy of Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
6,An Entorhinal-Hippocampal Model for Simultaneous Cognitive Map Building,Institute for Infocomm Research,Institute for Infocomm Research,Institute for Infocomm Research,Institute for Infocomm Research,Sichuan University,Institute for Infocomm Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
7,Unsupervised Cross-Domain Transfer in Policy Gradient Reinforcement Learning via Manifold Alignment,University of Pennsylvania,University of Pennsylvania,Franklin W. Olin College of Engineering,Washington State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
8,Multi-Objective Reinforcement Learning with Continuous Pareto Frontier Approximation,Politecnico di Milano,"Piazza Leonardo da Vinci, 32, 20133, Milan, Ital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
9,Effectively Predicting Whether and When a Topic Will Become Prevalent in a Social Network,Peking University,Anhui Normal University,UNSW Sydney,University of Technology Sydney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
10,Relational Stacked Denoising Autoencoder for Tag Recommendation,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
