Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,num_academia,num_company
0,Knowing What to Ask: A Bayesian Active Learning Approach to the Surveying Problem,Knowledge Now (United Kingdom),Hebrew University of Jerusalem," Digital Genius Ltd., London, U",Microsoft Research (United Kingdom),Hebrew University of Jerusalem,Microsoft Research (United Kingdom),,,,,,,,,,,,,,,,2.0,2.0
1,Joint Copying and Restricted Generation for Paraphrase,Hong Kong Polytechnic University,Hong Kong Polytechnic University,Wuhan University,Hong Kong Polytechnic University,Hong Kong Polytechnic University,Peking University,,,,,,,,,,,,,,,,6.0,0.0
2,Informative Subspace Learning for Counterfactual Inference,Northeastern University,Northeastern University,,,,,,,,,,,,,,,,,,,,2.0,0.0
3,Open-Ended Robotics Exploration Projects for Budding Researchers,Carleton College,Carleton College,Carleton College,,,,,,,,,,,,,,,,,,,3.0,0.0
4,"ARTY: Fueling Creativity through Art, Robotics and Technology for Youth",Canisius College,"University at Buffalo, State University of New York",,,,,,,,,,,,,,,,,,,,2.0,0.0
5,Non-Monotone DR-Submodular Function Maximization,The University of Tokyo,National Institute of Informatics,,,,,,,,,,,,,,,,,,,,2.0,0.0
6,An Exact Algorithm for the Maximum Weight Clique Problem in Large Graphs,Huazhong University of Science and Technology,University of Picardie Jules Verne,Research Institute for Artificial Intelligence,,,,,,,,,,,,,,,,,,,3.0,0.0
7,Geometry of Compositionality,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,,,,,,,,,,,,,,,,,,,3.0,0.0
8,Mechanism Design for Multi-Type Housing Markets,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,,,,,,,,,,,,,,,,,,,3.0,0.0
9,Recognising Multidimensional Euclidean Preferences,University of Oxford,,,,,,,,,,,,,,,,,,,,,1.0,0.0
10,Learning Deep Latent Spaces for Multi-Label Classification,"Research Center for Information Technology Innovation, Academia Sinica",National Taiwan University,National Taiwan University,"Research Center for Information Technology Innovation, Academia Sinica",,,,,,,,,,,,,,,,,,4.0,0.0
11,Depth CNNs for RGB-D Scene Recognition: Learning from Scratch Better than Transferring from RGB-CNNs,Chinese Academy of Sciences,Institute of Computing Technology,University of Chinese Academy of Sciences,Chinese Academy of Sciences,Institute of Computing Technology,Chinese Academy of Sciences,Institute of Computing Technology,University of Chinese Academy of Sciences,,,,,,,,,,,,,,8.0,0.0
12,"Inception-v4, Inception-ResNet and the Impact of Residual Connections on Learning",Google (United States),Google (United States),Google (United States),Google (United States),,,,,,,,,,,,,,,,,,0.0,4.0
13,Adverse Drug Reaction Prediction with Symbolic Latent Dirichlet Allocation,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,University of Arkansas at Fayetteville,IBM Research - Thomas J. Watson Research Center,Cornell University,,,,,,,,,,,,,,,,,5.0,0.0
14,Centralized versus Personalized Commitments and Their Influence on Cooperation in Group Interactions,Teesside University,Universidade Nova de Lisboa,Institute of Cognitive Sciences and Technologies,Université Libre de Bruxelles,Vrije Universiteit Brussel,,,,,,,,,,,,,,,,,5.0,0.0
15,Radon -Rapid Discovery of Topological Relations,Leipzig University,Leipzig University,École Polytechnique Fédérale de Lausanne,Leipzig University,,,,,,,,,,,,,,,,,,4.0,0.0
16,TaGiTeD: Predictive Task Guided Tensor Decomposition for Representation Learning from Electronic Health Records,Peking University," Key Laboratory of High Confdence Software Technologies, Ministry of Education, Beijing 100871,Chin",IBM Research - China,IBM Research - China,IBM Research - China,IBM Research - China,Peking University," Key Laboratory of High Confdence Software Technologies, Ministry of Education, Beijing 100871,Chin",Peking University," Key Laboratory of High Confdence Software Technologies, Ministry of Education, Beijing 100871,Chin",Cornell University,,,,,,,,,,,8.0,0.0
17,Balanced Clustering with Least Square Regression,Northwestern Polytechnical University,Northwestern Polytechnical University,Northwestern Polytechnical University,Xi'an Jiaotong University,,,,,,,,,,,,,,,,,,4.0,0.0
18,Natural Language Person Retrieval,"University of California, Los Angeles",Center for Innovation,,,,,,,,,,,,,,,,,,,,1.0,0.0
19,Auto-Annotation of 3D Objects via ImageNet,Xiamen University,Xiamen University,Xiamen University,,,,,,,,,,,,,,,,,,,3.0,0.0
20,Towards Continuous Scientific Data Analysis and Hypothesis Evolution,University of Southern California,Marina Del Rey Hospital,Stanford University,,,,,,,,,,,,,,,,,,,3.0,0.0
21,Latent Tree Analysis,Hong Kong University of Science and Technology,University of Hong Kong,,,,,,,,,,,,,,,,,,,,2.0,0.0
22,Video Captioning with Listwise Supervision,Beijing Computational Science Research Center," China ‡ Ricoh Company, Ltd., Yokohama, Japa",Beijing Computational Science Research Center," China ‡ Ricoh Company, Ltd., Yokohama, Japa",,,,,,,,,,,,,,,,,,2.0,0.0
23,Strategic Signaling and Free Information Disclosure in Auctions,Bar-Ilan University,Bar-Ilan University,Bar-Ilan University,,,,,,,,,,,,,,,,,,,3.0,0.0
24,Low-Rank Tensor Completion with Total Variation for Visual Data Inpainting,Shenzhen Key Laboratory of Internet Information Collaboration,Harbin Institute of Technology,,,,,,,,,,,,,,,,,,,,8.0,0.0
25,Fine-Grained Recurrent Neural Networks for Automatic Prostate Segmentation in Ultrasound Images,Chinese University of Hong Kong,Shenzhen University,Chinese University of Hong Kong,Shenzhen University,Chinese University of Hong Kong,Shenzhen University,Shenzhen Institutes of Advanced Technology,Chinese Academy of Sciences,Chinese University of Hong Kong,Shenzhen University,,,,,,,,,,,,10.0,0.0
26,Neural Models for Sequence Chunking,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,,,,,,,,,,,,,,,,,,4.0,0.0
27,Unsupervised Learning of Evolving Relationships Between Literary Characters,University of Illinois Urbana-Champaign,"University of Maryland, College Park","University of Maryland, College Park",,,,,,,,,,,,,,,,,,,3.0,0.0
28,Video Recovery via Learning Variation and Consistency of Images,The University of Texas at Arlington,Northeastern University,University of Sydney,The University of Texas at Arlington,,,,,,,,,,,,,,,,,,4.0,0.0
29,Efficient Delivery Policy to Minimize User Traffic Consumption in Guaranteed Advertising,Institute of Computing Technology,University of Chinese Academy of Sciences,Institute of Computing Technology,University of Chinese Academy of Sciences,University of Hong Kong,Institute of Computing Technology,University of Chinese Academy of Sciences,Institute of Computing Technology,University of Chinese Academy of Sciences,Institute of Computing Technology,University of Chinese Academy of Sciences,Institute of Computing Technology,University of Chinese Academy of Sciences,,,,,,,,,13.0,0.0
30,Transitive Hashing Network for Heterogeneous Multimedia Retrieval *,Tsinghua University,Tsinghua University,Tsinghua University,Hong Kong University of Science and Technology,,,,,,,,,,,,,,,,,,4.0,0.0
31,CBRAP: Contextual Bandits with RAndom Projection,Chinese University of Hong Kong,Chinese University of Hong Kong,Chinese University of Hong Kong,,,,,,,,,,,,,,,,,,,3.0,0.0
32,Multiple Kernel k-Means with Incomplete Kernels,National University of Defense Technology,National University of Defense Technology,University of Wollongong,National University of Defense Technology,National University of Defense Technology,National University of Defense Technology,,,,,,,,,,,,,,,,6.0,0.0
33,Weakly Supervised Semantic Segmentation Using Superpixel Pooling Network,Daegu Gyeongbuk Institute of Science and Technology,Pohang University of Science and Technology,Pohang University of Science and Technology,Pohang University of Science and Technology,,,,,,,,,,,,,,,,,,4.0,0.0
34,A Multiview-Based Parameter Free Framework for Group Detection,Northwestern Polytechnical University,Northwestern Polytechnical University,Northwestern Polytechnical University,Northwestern Polytechnical University,,,,,,,,,,,,,,,,,,4.0,0.0
35,Community-Based Question Answering via Contextual Ranking Metric Network Learning,Zhejiang University,Zhejiang University,,,,,,,,,,,,,,,,,,,,2.0,0.0
36,SReN: Shape Regression Network for Comic Storyboard Extraction,Peking University,Peking University,Peking University,Peking University,,,,,,,,,,,,,,,,,,4.0,0.0
37,What's Hot in Constraint Programming,University of Connecticut,Nice Sophia Antipolis University,,,,,,,,,,,,,,,,,,,,1.0,0.0
38,Market Pricing for Data Streams,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
39,Latent Smooth Skeleton Embedding,University of Illinois Urbana-Champaign,German Research Centre for Artificial Intelligence,,,,,,,,,,,,,,,,,,,,2.0,0.0
40,Improving Efficiency of SVM k-Fold Cross-Validation by Alpha Seeding,University of Melbourne,China University of Technology,,,,,,,,,,,,,,,,,,,,2.0,0.0
41,Team-Maxmin Equilibrium: Efficiency Bounds and Algorithms,University of Milan,Politecnico di Milano,Politecnico di Milano,Politecnico di Milano,,,,,,,,,,,,,,,,,,4.0,0.0
42,Maximum Reconstruction Estimation for Generative Latent-Variable Models,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,,,,,3.0,0.0
43,Variational Autoencoder for Semi-Supervised Text Classification,Peking University,Peking University,Peking University,Peking University,,,,,,,,,,,,,,,,,,4.0,0.0
44,On Predictive Patent Valuation: Forecasting Patent Citations and Their Types,East China Normal University,Shanghai Jiao Tong University,East China Normal University,East China Normal University,IBM Research - China,,,,,,,,,,,,,,,,,5.0,0.0
45,Deep Spatio-Temporal Residual Networks for Citywide Crowd Flows Prediction *,Microsoft Research Asia (China),Microsoft Research Asia (China),Southwest Jiaotong University,Xidian University,Shenzhen Institutes of Advanced Technology,Microsoft Research Asia (China),Southwest Jiaotong University,Microsoft Research (India),,,,,,,,,,,,,,4.0,4.0
46,Web-Based Semantic Fragment Discovery for Online Lingual-Visual Similarity,University of Queensland,Harbin Institute of Technology,University of Queensland,University of Queensland,University of Queensland,University of Queensland,University of Electronic Science and Technology of China,,,,,,,,,,,,,,,7.0,0.0
47,SAT Competition 2016: Recent Developments,Karlsruhe Institute of Technology,The University of Texas at Austin,Helsinki Institute for Information Technology,University of Helsinki,,,,,,,,,,,,,,,,,,4.0,0.0
48,The Simultaneous Maze Solving Problem,University of Stuttgart,University of Stuttgart,University of Würzburg,,,,,,,,,,,,,,,,,,,3.0,0.0
