Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,num_academia,num_company
0,Elastic Responding Machine for Dialog Generation with Dynamically Mechanism Selecting,Chinese Academy of Sciences,Institute of Computing Technology,University of Chinese Academy of Sciences,Chinese Academy of Sciences,Institute of Computing Technology,University of Chinese Academy of Sciences,"University of California, Santa Barbara",Tencent (China),Chinese Academy of Sciences,Institute of Computing Technology,University of Chinese Academy of Sciences,Tencent (China),,,,,,,,10.0,2.0
1,How Images Inspire Poems: Generating Classical Chinese Poetry from Images with Memory Networks,University of Science and Technology of China,University of Antwerp,University of Science and Technology of China,University of Antwerp,University of Science and Technology of China,University of Antwerp,University of Science and Technology of China,University of Antwerp,,,,,,,,,,,,8.0,0.0
2,Armstrong's Axioms and Navigation Strategies,Vassar College,Vassar College,,,,,,,,,,,,,,,,,,2.0,0.0
3,A Deep Generative Framework for Paraphrase Generation,University of Delhi,University of Delhi,Indian Institute of Technology Kanpur,Indian Institute of Technology Kanpur,,,,,,,,,,,,,,,,4.0,0.0
4,Medical Exam Question Answering with Large-Scale Reading Comprehension,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,5.0,0.0
5,Towards Imperceptible and Robust Adversarial Example Attacks against Neural Networks,Chinese University of Hong Kong,Chinese University of Hong Kong,Chinese University of Hong Kong,Chinese University of Hong Kong,,,,,,,,,,,,,,,,4.0,0.0
6,Dual Transfer Learning for Neural Machine Translation with Marginal Distribution Regularization *,University of Science and Technology of China,University of Science and Technology of China,Microsoft Research Asia (China),Microsoft Research Asia (China),Microsoft Research Asia (China),University of Science and Technology of China,Microsoft Research Asia (China),Microsoft Research Asia (China),,,,,,,,,,,,3.0,5.0
7,Multiwinner Elections with Diversity Constraints,University of Oxford,AGH University of Science and Technology,University of Oxford,TU Wien,Technical University of Berlin,,,,,,,,,,,,,,,5.0,0.0
8,Incentive-Compatible Forecasting Competitions,ETH Zurich,Duke University,Microsoft Research (United Kingdom),Microsoft Research (United Kingdom),Microsoft Research (United Kingdom),,,,,,,,,,,,,,,2.0,3.0
9,Contextual Collaborative Filtering for Student Response Prediction in Mixed-Format Tests,University of Iowa,San Jose State University,,,,,,,,,,,,,,,,,,2.0,0.0
