Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,num_academia,num_company
0,Revisiting Projection-Free Optimization for Strongly Convex Constraint Sets Jarrid Rector-Brooks,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,Georgia Institute of Technology,,,,,,,,,,,,,,,,,,3.0,0.0
1,Random Walk Decay Centrality,University of Warsaw,New York University Abu Dhabi,University of Warsaw,,,,,,,,,,,,,,,,,,3.0,0.0
2,Hierarchical Classification Based on Label Distribution Learning,Southeast University,Southeast University,,,,,,,,,,,,,,,,,,,2.0,0.0
3,Consensus Adversarial Domain Adaptation,"University of California, Berkeley","University of California, Berkeley",Nanyang Technological University,"University of California, Berkeley","University of California, Berkeley","University of California, Berkeley",,,,,,,,,,,,,,,6.0,0.0
4,Optimal Projection Guided Transfer Hashing for Image Retrieval,Chongqing University,Chongqing University,,,,,,,,,,,,,,,,,,,2.0,0.0
5,Trainable Undersampling for Class-Imbalance Learning,Fudan University,Fudan University,Fudan University,Fudan University,Fudan University,Fudan University,Fudan University,Fudan University,,,,,,,,,,,,,8.0,0.0
6,Hierarchical Photo-Scene Encoder for Album Storytelling,Shandong University, Tencent AI La,Shandong University, Tencent AI La, Tencent AI La,,,,,,,,,,,,,,,,2.0,0.0
7,Super Sparse Convolutional Neural Networks,Harbin Institute of Technology Shenzhen Graduate School,Harbin Institute of Technology Shenzhen Graduate School,University of Macau,Harbin Institute of Technology Shenzhen Graduate School,Hong Kong Polytechnic University,,,,,,,,,,,,,,,,2.0,0.0
8,"Direct Training for Spiking Neural Networks: Faster, Larger, Better",Tsinghua University,"University of California, Santa Barbara",Tsinghua University,Tsinghua University,"University of California, Santa Barbara",Tsinghua University,,,,,,,,,,,,,,,6.0,0.0
9,TAPAS: Train-Less Accuracy Predictor for Architecture Search,IBM Research - Zurich,Queen's University Belfast,IBM Research - Zurich,IBM Research - Zurich,Queen's University Belfast,IBM Research - Zurich,IBM Research - Zurich,,,,,,,,,,,,,,7.0,0.0
