Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,num_academia,num_company
0,Indirect Stochastic Gradient Quantization and Its Application in Distributed Deep Learning,Georgia Institute of Technology,Georgia Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
1,Learning Cross-Modal Context Graph for Visual Grounding,ShanghaiTech University,ShanghaiTech University,Queens University,ShanghaiTech University,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
2,Hidden Trigger Backdoor Attacks,"University of Maryland, Baltimore","University of Maryland, Baltimore","University of Maryland, Baltimore",,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
3,Neural Semantic Parsing in Low-Resource Settings with Back-Translation and Meta-Learning,Harbin Institute of Technology,Microsoft Research Asia (China),Microsoft Research Asia (China),Microsoft Research Asia (China),Harbin Institute of Technology,Harbin Institute of Technology,Microsoft Research Asia (China),,,,,,,,,,,,,,,,,,,3.0,4.0
4,Incremental Multi-Domain Learning with Network Latent Tensor Factorization, Samsung AI Center Cambridg, Samsung AI Center Cambridg,Imperial College London, Samsung AI Center Cambridg, Samsung AI Center Cambridg,Imperial College London,,,,,,,,,,,,,,,,,,,,0.0,4.0
5,A Causal Inference Method for Reducing Gender Bias in Word Embedding Relations,City University of Hong Kong,City University of Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
6,CGD: Multi-View Clustering via Cross-View Graph Diffusion,China University of Geosciences,National University of Defense Technology,Zhejiang Normal University,National University of Defense Technology,National University of Defense Technology,China University of Geosciences,Peking University, https://github.com/ChangTang/CG,,,,,,,,,,,,,,,,,,7.0,0.0
7,TextNAS: A Neural Architecture Search Space Tailored for Text Representation,Peking University,Peking University,ETH Zurich,University of Science and Technology of China,Peking University,Peking University,,,,,,,,,,,,,,,,,,,,6.0,0.0
8,Adapting Stable Matchings to Evolving Preferences,Technical University of Berlin,TU Wien,Technical University of Berlin,Czech Technical University in Prague,Technical University of Berlin,Technical University of Berlin,,,,,,,,,,,,,,,,,,,,6.0,0.0
9,Information Shaping for Enhanced Goal Recognition of Partially-Informed Agents,Harvard University,Harvard University,Harvard University,Harvard University,Harvard University,,,,,,,,,,,,,,,,,,,,,5.0,0.0
10,LS-Tree: Model Interpretation When the Data Are Linguistic,"University of California, Berkeley","University of California, Berkeley",,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
11,Type-Aware Anchor Link Prediction across Heterogeneous Networks Based on Graph Attention Network,Institute of Information Engineering,University of Chinese Academy of Sciences,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
12,Visualizing Deep Networks by Optimizing with Integrated Gradients,Oregon State University Cascades,Race Forward,Oregon State University Cascades,Oregon State University Cascades,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
13,Spatiotemporally Constrained Action Space Attacks on Deep Reinforcement Learning Agents,Iowa State University,Iowa State University,Iowa State University,New York University,Iowa State University,,,,,,,,,,,,,,,,,,,,,5.0,0.0
14,Unsupervised Domain Adaptation on Reading Comprehension,University of Sydney,University of Waikato,University of Sydney,Institute of High Performance Computing,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
15,Bursting the Filter Bubble: Fairness-Aware Network Link Prediction,Michigan State University,Michigan State University,Michigan State University,Michigan State University,Michigan State University,,,,,,,,,,,,,,,,,,,,,5.0,0.0
16,Robust Federated Learning via Collaborative Machine Teaching,"Nortonlifelock Research Group Campus SohpiaTech Sophia Antipolis, 06410, Franc",University of Science and Technology,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
17,Divide-and-Conquer Learning with Nyström: Optimal Rate and Algorithm,University of Chinese Academy of Sciences,University of Chinese Academy of Sciences,University of Chinese Academy of Sciences,University of Chinese Academy of Sciences,University of Chinese Academy of Sciences,Institute of Information Engineering,,,,,,,,,,,,,,,,,,,,6.0,0.0
18,Asymmetrical Hierarchical Networks with Attentive Interactions for Interpretable Review-Based Recommendation,"Rutgers, The State University of New Jersey", NEC Laboratories Americ, NEC Laboratories Americ, NEC Laboratories Americ, NEC Laboratories Americ, NEC Laboratories Americ, NEC Laboratories Americ,"Rutgers, The State University of New Jersey", NEC Laboratories Americ,,,,,,,,,,,,,,,,,2.0,0.0
19,Unified Graph and Low-Rank Tensor Learning for Multi-View Clustering,Shandong University of Science and Technology,Peking University,Shandong University of Science and Technology,"China University of Petroleum, Beijing",,,,,,,,,,,,,,,,,,,,,,4.0,0.0
20,A Spherical Convolution Approach for Learning Long Term Viewport Prediction in 360 Immersive Video,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Ministry of Education,Peng Cheng Laboratory,,,,,,,,,,,,,,,,,9.0,0.0
21,Multi-Task Learning for Metaphor Detection with Graph Convolutional Neural Networks and Word Sense Disambiguation," VinAI Research, Hanoi, Vietna",Hanoi University of Science and Technology,University of Florida," VinAI Research, Hanoi, Vietna",University of Oregon,,,,,,,,,,,,,,,,,,,,,3.0,0.0
22,Parameterised Resource-Bounded ATL,Utrecht University,French National Centre for Scientific Research,University of Paris-Saclay,University of Nottingham,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
23,Beyond the Grounding Bottleneck: Datalog Techniques for Inference in Probabilistic Logic Programs,Samsung AI Researc,Cardiff University,Cardiff University,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0
24,Capsule Routing via Variational Bayes,University of Lincoln,University of Lincoln,University of Lincoln,University of Lincoln,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
25,Hierarchical Attention Network with Pairwise Loss for Chinese Zero Pronoun Resolution,Sun Yat-sen University,Sun Yat-sen University,Ministry of Education,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
26,Overcoming Language Priors in VQA via Decomposed Linguistic Representations,Beijing Institute of Technology,Beijing Institute of Technology,Alibaba Group (China),Beijing Institute of Technology,University of Adelaide,,,,,,,,,,,,,,,,,,,,,4.0,1.0
27,An Efficient Algorithm for Counting Markov Equivalent DAGs,University of Vienna,University of Vienna,University of Helsinki,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
28,Generating Well-Formed Answers by Machine Reading with Stochastic Selector Networks,Alibaba Group (China),Alibaba Group (China),Alibaba Group (China),Alibaba Group (China),Alibaba Group (China),Alibaba Group (China),,,,,,,,,,,,,,,,,,,,0.0,6.0
29,SiamFC++: Towards Robust and Accurate Visual Tracking with Target Estimation Guidelines,Zhejiang University, Megvii Inc, Megvii Inc, Megvii Inc, Megvii Inc,,,,,,,,,,,,,,,,,,,,,1.0,0.0
30,End-to-End Argumentation Knowledge Graph Construction,"Bauhaus University, Weimar",IBM Research - Ireland,Paderborn University,IBM Research - Ireland,IBM Research - Ireland,"Bauhaus University, Weimar",,,,,,,,,,,,,,,,,,,,6.0,0.0
31,D-SPIDER-SFO: A Decentralized Optimization Algorithm with Faster Convergence Rate for Nonconvex Problems,University of Science and Technology of China," Infinia ML, Inc",University of Science and Technology of China,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
32,Towards Scalable Multi-Domain Conversational Agents: The Schema-Guided Dialogue Dataset,Google (United States),Google (United States),Google (United States),Google (United States),Google (United States),,,,,,,,,,,,,,,,,,,,,0.0,5.0
33,A Constraint-Based Approach to Learning and Explanation *,University of Florence,University of Siena,University of Siena,University of Siena,University of Siena,University of Siena,,,,,,,,,,,,,,,,,,,,6.0,0.0
34,STEP: Spatial Temporal Graph Convolutional Networks for Emotion Perception from Gaits,"University of Maryland, College Park","University of Maryland, College Park","University of Maryland, College Park",University of North Carolina Health Care,"University of Maryland, College Park","University of Maryland, College Park",,,,,,,,,,,,,,,,,,,,6.0,0.0
35,High-Order Residual Network for Light Field Super-Resolution,University of Hong Kong," Huawei Noah's Ark Lab, Chin"," Huawei Noah's Ark Lab, Chin",University of Hong Kong,,,,,,,,,,,,,,,,,,,,,,2.0,2.0
36,Multi-Scale Self-Attention for Text Classification,Fudan University,Fudan University,Fudan University,Fudan University,Fudan University,Fudan University,Fudan University,Fudan University,AWS Shanghai AI Lab,,,,,,,,,,,,,,,,,5.0,0.0
37,Graph Representations for Higher-Order Logic and Theorem Proving,Google (United States),Google Researc,Google Researc,Google Researc,,,,,,,,,,,,,,,,,,,,,,0.0,5.0
38,An Efficient Explorative Sampling Considering the Generative Boundaries of Deep Generative Neural Networks,Ulsan National Institute of Science and Technology,Korea Advanced Institute of Science and Technology,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
39,Computing Team-Maxmin Equilibria in Zero-Sum Multiplayer Extensive-Form Games,Nanyang Technological University,Nanyang Technological University,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
40,The Surprising Power of Hiding Information in Facility Location,Vector Institute,University of Toronto,University of Toronto,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
41,Temporal Pyramid Recurrent Neural Network,South China University of Technology,South China University of Technology,South China University of Technology,"University of California, San Diego",,,,,,,,,,,,,,,,,,,,,,4.0,0.0
42,Revisiting Image Aesthetic Assessment via Self-Supervised Feature Learning,Chinese Academy of Sciences,Tencent (China),Chinese Academy of Sciences,Canadian Parks and Wilderness Society,Canadian Parks and Wilderness Society,North China Electric Power University,Tencent (China),Chinese Academy of Sciences,Xiamen University, Kuaishou Technolog,,,,,,,,,,,,,,,,7.0,2.0
43,Question-Driven Purchasing Propensity Analysis for Recommendation,Xi’an University of Posts and Telecommunications,Northwest University,Zhejiang University,Alibaba Group (China),The Ohio State University,Xi’an University of Posts and Telecommunications,Zhejiang University,,,,,,,,,,,,,,,,,,,6.0,1.0
44,Re-Attention for Visual Question Answering,Nankai University,Nankai University,Nankai University,Nankai University,Nankai University,Nankai University,Nankai University,,,,,,,,,,,,,,,,,,,7.0,0.0
45,Dynamic Control of Probabilistic Simple Temporal Networks,Harvey Mudd College,Harvey Mudd College,Harvey Mudd College,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
46,Crowdfunding Dynamics Tracking: A Reinforcement Learning Approach,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,,,,,,,,,,,,,,,,,,,,,5.0,0.0
47,Crowd-Assisted Disaster Scene Assessment with Human-AI Interactive Attention,University of Notre Dame,University of Notre Dame,University of Notre Dame,University of Notre Dame,University of Notre Dame,,,,,,,,,,,,,,,,,,,,,5.0,0.0
48,Pyramid Attention Aggregation Network for Semantic Segmentation of Surgical Instruments,University of Chinese Academy of Sciences,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Chinese Academy of Sciences,Chinese Academy of Sciences,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Chinese Academy of Sciences,Center for Excellence in Brain Science and Intelligence Technology,University of Chinese Academy of Sciences,Chinese Academy of Sciences,,,,,,,,,,,,,13.0,0.0
49,Analysis of One-to-One Matching Mechanisms via SAT Solving: Impossibilities for Universal Axioms,University of Amsterdam,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
50,Learning Conceptual-Contextual Embeddings for Medical Text,Tsinghua University," Department of Computer and Information Science, University of Orego", Baidu Researc,Tsinghua University,University of Washington,,,,,,,,,,,,,,,,,,,,,3.0,0.0
51,Posterior-GAN: Towards Informative and Coherent Response Generation with Posterior Generative Adversarial Network,Beijing Institute of Technology,Beijing Institute of Technology,Beijing Institute of Technology,Beijing Institute of Technology,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
52,A Forest from the Trees: Generation through Neighborhoods,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
53,Frame-Guided Region-Aligned Representation for Video Person Re-Identification,South China University of Technology,South China University of Technology,South China University of Technology,South China University of Technology,South China University of Technology,,,,,,,,,,,,,,,,,,,,,5.0,0.0
54,Learning to Interactively Learn and Assist,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
55,Scaling All-Goals Updates in Reinforcement Learning Using Convolutional Neural Networks,Imperial College London,Imperial College London,Imperial College London,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
56,DeepDualMapper: A Gated Fusion Network for Automatic Map Extraction Using Aerial Images and Trajectories,Fudan University,Fudan University, Shanghai Institute of Intelligent Electronics & System,Fudan University,Fudan University, Shanghai Institute of Intelligent Electronics & System,Fudan University,Fudan University, Shanghai Institute of Intelligent Electronics & System,Fudan University,Fudan University, Shanghai Institute of Intelligent Electronics & System,Singapore Management University,,,,,,,,,,,,,4.0,2.0
57,Fine-Grained Named Entity Typing over Distantly Supervised Data Based on Refined Representations *,UNSW Sydney,UNSW Sydney,UNSW Sydney,UNSW Sydney,Dongguan University of Technology,,,,,,,,,,,,,,,,,,,,,5.0,0.0
58,Estimating Causal Effects Using Weighting-Based Estimators,Department of Computer Science Purdue Universit,Iowa State University,Columbia University,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
59,Relation Inference among Sensor Time Series in Smart Buildings with Metric Learning,Peking University,"University of California, San Diego",University of Virginia,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
60,Checking Chase Termination over Ontologies of Existential Rules with Equality,TU Dresden,Vrije Universiteit Amsterdam,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
61,Graph-Propagation Based Correlation Learning for Weakly Supervised Fine-Grained Image Classification,Dalian University of Technology," Key Laboratory for Ubiquitous Network and Service Software of Liaoning Province, Chin",Dalian University of Technology,Dalian University of Technology," Key Laboratory for Ubiquitous Network and Service Software of Liaoning Province, Chin",Dalian University of Technology,Hangzhou Dianzi University,,,,,,,,,,,,,,,,,,,5.0,0.0
62,Compact Autoregressive Network,University of Hong Kong,University of Hong Kong,University of Hong Kong,University of Hong Kong," Huawei Noah's Ark Lab, Hong Kong, Chin",,,,,,,,,,,,,,,,,,,,,4.0,0.0
63,Getting Closer to AI Complete Question Answering: A Set of Prerequisite Real Tasks,University of Massachusetts Lowell,University of Massachusetts Lowell,University of Massachusetts Lowell,University of Massachusetts Lowell,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
64,DCR-Net: A Deep Co-Interactive Relation Network for Joint Dialog Act Recognition and Sentiment Classification,Harbin Institute of Technology,Harbin Institute of Technology,Harbin Institute of Technology,Harbin Institute of Technology,Harbin Institute of Technology,,,,,,,,,,,,,,,,,,,,,5.0,0.0
65,Exploit and Replace: An Asymmetrical Two-Stream Architecture for Versatile Light Field Saliency Detection,Dalian University of Technology,Dalian University of Technology,Dalian University of Technology,Dalian University of Technology,Dalian University of Technology,Peng Cheng Laboratory,,,,,,,,,,,,,,,,,,,,6.0,0.0
66,A General Approach to Fairness with Optimal Transport,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
67,Logics for Sizes with Union or Intersection,Indiana University,Indiana University,Wesleyan University,Indiana University Bloomington,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
68,A New Approach to Plan-Space Explanation: Analyzing Plan-Property Dependencies in Oversubscription Planning,Saarland University,University of Strathclyde,Saarland University,King's College London,Saarland University,,,,,,,,,,,,,,,,,,,,,5.0,0.0
69,Learning to Generate Maps from Trajectories,Xidian University," JD Intelligent Cities Research, Beijing, China"," JD Intelligent Cities Business Unit, JD Digits, Beijing, Chin",Nanyang Technological University," JD Intelligent Cities Research, Beijing, China"," JD Intelligent Cities Business Unit, JD Digits, Beijing, Chin",Xidian University,Xidian University," JD Intelligent Cities Research, Beijing, China"," JD Intelligent Cities Business Unit, JD Digits, Beijing, Chin",Xidian University,National University of Singapore," JD Intelligent Cities Research, Beijing, China"," JD Intelligent Cities Business Unit, JD Digits, Beijing, Chin",Harbin Institute of Technology,Xidian University," JD Intelligent Cities Research, Beijing, China"," JD Intelligent Cities Business Unit, JD Digits, Beijing, Chin",,,,,,,,8.0,1.0
70,Simple Pose: Rethinking and Improving a Bottom-up Approach for Multi-Person Pose Estimation,University of Science and Technology of China,Zhejiang Sci-Tech University,Institute of Intelligent Machines,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
71,R 2 MRF: Defocus Blur Detection via Recurrently Refining Multi-Scale Residual Features,China University of Geosciences,National University of Defense Technology,Zhejiang Normal University,National University of Defense Technology,China University of Geosciences,Alibaba Group (United States),China University of Geosciences,University of Sydney,,,,,,,,,,,,,,,,,,7.0,1.0
72,AWR: Adaptive Weighting Regression for 3D Hand Pose Estimation,Beijing University of Posts and Telecommunications," EBUPT Information Technology Co., Ltd., Beijing 100191, P.R. Chin",Beijing University of Posts and Telecommunications," EBUPT Information Technology Co., Ltd., Beijing 100191, P.R. Chin",Beijing University of Posts and Telecommunications," EBUPT Information Technology Co., Ltd., Beijing 100191, P.R. Chin",Beijing University of Posts and Telecommunications," EBUPT Information Technology Co., Ltd., Beijing 100191, P.R. Chin",Beijing University of Posts and Telecommunications," EBUPT Information Technology Co., Ltd., Beijing 100191, P.R. Chin",,,,,,,,,,,,,,,,5.0,0.0
73,Modeling Fluency and Faithfulness for Diverse Neural Machine Translation,Institute of Computing Technology,University of Chinese Academy of Sciences,Institute of Computing Technology,Beijing Language and Culture University,Institute of Computing Technology,University of Chinese Academy of Sciences,Institute of Computing Technology,University of Chinese Academy of Sciences," Smart Platform Product Department of Tencent Inc., Chin",Institute of Computing Technology,University of Chinese Academy of Sciences,Beijing Language and Culture University,,,,,,,,,,,,,,11.0,0.0
74,HS-CAI: A Hybrid DCOP Algorithm via Combining Search with Context-Based Inference,Chongqing University,Nanyang Technological University,Chongqing University,Chongqing University,Chongqing University,,,,,,,,,,,,,,,,,,,,,5.0,0.0
75,Latent-Variable Non-Autoregressive Neural Machine Translation with Deterministic Inference Using a Delta Posterior,The University of Tokyo,New York University,The University of Tokyo,New York University,Meta (United States), CIFAR Azrieli Global Schola,,,,,,,,,,,,,,,,,,,,4.0,1.0
76,Predicting Propositional Satisfiability via End-to-End Learning,Department of Computer Science University of British Columbi,Department of Computer Science University of British Columbi,Department of Computer Science University of British Columbi,Department of Computer Science University of British Columbi,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
77,Designing Committees for Mitigating Biases *,Tel Aviv University," Microsoft Research, Israel",Tel Aviv University," Google Research, Israel",Hebrew University of Jerusalem,Ben-Gurion University of the Negev,Technion – Israel Institute of Technology,,,,,,,,,,,,,,,,,,,5.0,0.0
78,Path Ranking with Attention to Type Hierarchies,Georgia Institute of Technology,Georgia Institute of Technology,Georgia Institute of Technology,Georgia Institute of Technology,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
79,Structure Learning for Headline Generation,Chinese Academy of Sciences,University of Chinese Academy of Sciences,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
80,Finding Good Subtrees for Constraint Optimization Problems Using Frequent Pattern Mining,Northeast Normal University,Chinese University of Hong Kong,Northeast Normal University,Northeast Normal University,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
81,Graph-Hist: Graph Classification from Latent Feature Histograms with Application to Bot Detection,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
82,Deep Reservoir Computing Meets 5G MIMO-OFDM Systems in Symbol Detection,Virginia Tech,Virginia Tech," Samsung Research America, US"," Samsung Research America, US",Virginia Tech,,,,,,,,,,,,,,,,,,,,,3.0,0.0
83,Distraction-Aware Feature Learning for Human Attribute Recognition via Coarse-to-Fine Attention Mechanism,Beihang University,Beihang University,Beihang University,Beihang University,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
84,Robust Low-Rank Discovery of Data-Driven Partial Differential Equations,Nanjing University of Science and Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology," MIT-IBM Watson AI Lab, Cambridge, MA, US",,,,,,,,,,,,,,,,,,,,4.0,0.0
85,Privacy-Preserving Gaussian Process Regression -A Modular Approach to the Application of Homomorphic Encryption,IBM Research - United Kingdom,Sci-Tech Daresbury,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
86,Query Answering with Guarded Existential Rules under Stable Model Semantics,Sun Yat-sen University,Free University of Bozen-Bolzano,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,Griffith University,,,,,,,,,,,,,,,,,,,,6.0,0.0
87,Towards Hands-Free Visual Dialog Interactive Recommendation,"Samsung Research America Mountain View, CA, US","Samsung Research America Mountain View, CA, US","Samsung Research America Mountain View, CA, US",,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
88,Joint Commonsense and Relation Reasoning for Image and Video Captioning,Beijing Institute of Technology,Beijing Institute of Technology,Alibaba Group (China),Beijing Institute of Technology,Beijing Institute of Technology,University of Rochester,,,,,,,,,,,,,,,,,,,,5.0,1.0
89,Correcting Predictions for Approximate Bayesian Inference,Helsinki Institute for Information Technology,Helsinki Institute for Information Technology,Helsinki Institute for Information Technology,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
90,Non-Local U-Nets for Biomedical Image Segmentation,Texas A&M University,Texas A&M University,University of North Carolina at Chapel Hill,Texas A&M University,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
91,MaskGEC: Improving Neural Grammatical Error Correction via Dynamic Masking,Peking University,Peking University,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
92,EEMEFN: Low-Light Image Enhancement via Edge-Enhanced Multi-Exposure Fusion Network,Zhejiang University,University of Technology Sydney,University of Technology Sydney, Baidu Research minfen,Zhejiang University,University of Technology Sydney,University of Technology,,,,,,,,,,,,,,,,,,,4.0,0.0
93,HDK: Toward High-Performance Deep-Learning-Based Kirchhoff Analysis,University of Nevada Reno,University of Nevada Reno,University of Nevada Reno,University of Nevada Reno,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
94,Graph-Based Transformer with Cross-Candidate Verification for Semantic Parsing,Sun Yat-sen University,Microsoft Research Asia (China),Microsoft Research Asia (China),Microsoft Research Asia (China),University of Science and Technology of China,Microsoft (United States),Microsoft (United States),Sun Yat-sen University,,,,,,,,,,,,,,,,,,3.0,5.0
