Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,num_academia,num_company
0,A New Bounding Scheme for Influence Diagrams, IBM Research Europ,"University of California, Irvine","University of California, Irvine",,,,,,,,,,,,,,,,,,,,2.0,0.0
1,Learning to Attack Real-World Models for Person Re-identification via Virtual-Guided Meta-Learning,Xiamen University,University of Trento,National Institute of Informatics,National Institute of Informatics,Xiamen University,Xiamen University,University of Trento," Huawei Research, Irelan",National Institute of Informatics,,,,,,,,,,,,,,8.0,0.0
2,MAMBA: Multi-level Aggregation via Memory Bank for Video Object Detection,Queen's University Belfast," Anyvision, Belfast, U",Queen's University Belfast,Queen's University Belfast," Anyvision, Belfast, U",Queen's University Belfast,,,,,,,,,,,,,,,,,4.0,0.0
3,A User-Adaptive Layer Selection Framework for Very Deep Sequential Recommender Models,Shenzhen Institutes of Advanced Technology,University of Chinese Academy of Sciences,Tencent (China),Huazhong University of Science and Technology,Institute of Computing Technology,Shenzhen Institutes of Advanced Technology,Shenzhen Institutes of Advanced Technology,,,,,,,,,,,,,,,,6.0,1.0
4,Does Explainable Artificial Intelligence Improve Human Decision-Making?,Saudi Aramco (Saudi Arabia),The University of Texas at Arlington,The University of Texas at Dallas,The University of Texas at Dallas,,,,,,,,,,,,,,,,,,,3.0,1.0
5,Curriculum Labeling: Revisiting Pseudo-Labeling for Semi-Supervised Learning,University of Virginia,University of Virginia,University of Virginia,University of Virginia,,,,,,,,,,,,,,,,,,,4.0,0.0
6,Differentially Private and Communication Efficient Collaborative Learning,University of Houston,University of Connecticut,University of Connecticut,University of Houston,,,,,,,,,,,,,,,,,,,4.0,0.0
7,Learning from History: Modeling Temporal Knowledge Graphs with Sequential Copy-Generation Networks,National University of Defense Technology,University of Southern California,National University of Defense Technology,National University of Defense Technology,Graduate School of Computer Science and Advanced Technologies,,,,,,,,,,,,,,,,,,4.0,0.0
8,Segmentation of Tweets with URLs and its Applications to Sentiment Analysis,Temple University,Binghamton University,Temple University,,,,,,,,,,,,,,,,,,,,3.0,0.0
9,Rethinking Graph Regularization for Graph Neural Networks,Chinese University of Hong Kong,Chinese University of Hong Kong,Chinese University of Hong Kong,,,,,,,,,,,,,,,,,,,,3.0,0.0
10,Contrastive Triple Extraction with Generative Transformer,Zhejiang University, AZFT Joint Lab for Knowledge Engine 3 Alibaba Grou,Zhejiang University, AZFT Joint Lab for Knowledge Engine 3 Alibaba Grou,Zhejiang University, AZFT Joint Lab for Knowledge Engine 3 Alibaba Grou,Zhejiang University, AZFT Joint Lab for Knowledge Engine 3 Alibaba Grou,,,,,,,,,,,,,,,4.0,3.0
11,Knowledge-Enhanced Top-K Recommendation in Poincaré Ball,McGill University,McGill University, Huawei Noah's Ark Lab Montrea,McGill University,McGill University,McGill University,,,,,,,,,,,,,,,,,5.0,0.0
12,SnapMix: Semantically Proportional Mixing for Augmenting Fine-grained Data,University of Sydney,Stevens Institute of Technology,University of Sydney,,,,,,,,,,,,,,,,,,,,3.0,0.0
13,IsoBN: Fine-Tuning BERT with Isotropic Batch Normalization,University of Southern California,University of Southern California,University of Southern California,,,,,,,,,,,,,,,,,,,,3.0,0.0
14,The Price of Connectivity in Fair Division,Nanyang Technological University,National Institute of Informatics,Nanyang Technological University,National University of Singapore,,,,,,,,,,,,,,,,,,,4.0,0.0
15,A Case Study of the Shortcut Effects in Visual Commonsense Reasoning,University of Pittsburgh,University of Pittsburgh,,,,,,,,,,,,,,,,,,,,,2.0,0.0
16,SSPC-Net: Semi-supervised Semantic 3D Point Cloud Segmentation Network,Nanjing University of Science and Technology,Nanjing University of Science and Technology,Nanjing University of Science and Technology,Nanjing University of Science and Technology,,,,,,,,,,,,,,,,,,,4.0,0.0
17,DeepCollaboration: Collaborative Generative and Discriminative Models for Class Incremental Learning," Brainnetome Center and National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Science",University of Chinese Academy of Sciences," Brainnetome Center and National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Science",University of Chinese Academy of Sciences," Brainnetome Center and National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Science",Center for Excellence in Brain Science and Intelligence Technology,University of Chinese Academy of Sciences,,,,,,,,,,,,,,,,3.0,0.0
18,Joint Demosaicking and Denoising in the Wild: The Case of Training Under Ground Truth Uncertainty,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,,,,,,,,,,,,,,,,,,,,3.0,0.0
19,Quantification of Resource Production Incompleteness,"CRIL, U. Artois & CNRS, Lens, Franc",,,,,,,,,,,,,,,,,,,,,,1.0,0.0
20,Window Loss for Bone Fracture Detection and Localization in X-ray Images with Point-based Annotation," PAII Inc., Bethesda, Maryland, US"," PAII Inc., Bethesda, Maryland, US",Chang Gung Memorial Hospital," PAII Inc., Bethesda, Maryland, US"," PAII Inc., Bethesda, Maryland, US",Linköping University,Chang Gung Memorial Hospital," PAII Inc., Bethesda, Maryland, US",,,,,,,,,,,,,,,3.0,0.0
21,Selfish Creation of Social Networks,University of Sassari,University of Potsdam,University of Potsdam," Department of Computer Science, Humboldt-University Berlin, German",University of Potsdam,,,,,,,,,,,,,,,,,,5.0,0.0
22,Robust Bandit Learning with Imperfect Context,"University of California, Riverside","University of California, Riverside",,,,,,,,,,,,,,,,,,,,,2.0,0.0
23,Modeling Deep Learning Based Privacy Attacks on Physical Mail,Stony Brook University,Stony Brook University,Stony Brook University,Stony Brook University,,,,,,,,,,,,,,,,,,,4.0,0.0
24,Joint Semantic Analysis with Document-Level Cross-Task Coherence Rewards,University of Copenhagen,University of Copenhagen,University of Copenhagen,University of Copenhagen,University of Copenhagen,,,,,,,,,,,,,,,,,,5.0,0.0
25,Tightening Robustness Verification of Convolutional Neural Networks with Fine-Grained Linear Approximation,East China Normal University,East China Normal University,Tongji University,,,,,,,,,,,,,,,,,,,,3.0,0.0
26,Heterogeneous Graph Structure Learning for Graph Neural Networks,Beijing University of Posts and Telecommunications,Case Western Reserve University,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Quantum Group (United States),Peking University,Case Western Reserve University,,,,,,,,,,,,,,,,6.0,1.0
27,Provably Good Solutions to the Knapsack Problem via Neural Networks of Bounded Size *,Technical University of Berlin,Technical University of Berlin,,,,,,,,,,,,,,,,,,,,,2.0,0.0
28,Clustering Ensemble Meets Low-rank Tensor Approximation,Southeast University,City University of Hong Kong,City University of Hong Kong,City University of Hong Kong,City University of Hong Kong,,,,,,,,,,,,,,,,,,5.0,0.0
29,Augmenting Policy Learning with Routines Discovered from a Single Demonstration,Shanghai Jiao Tong University, MIT-IBM Watson AI La,Stanford University, MIT-IBM Watson AI La,Massachusetts Institute of Technology,,,,,,,,,,,,,,,,,,3.0,2.0
30,Modeling the Momentum Spillover Effect for Stock Prediction via Attribute-Driven Graph Attention Networks,Southwestern University of Finance and Economics,Southwestern University of Finance and Economics,,,,,,,,,,,,,,,,,,,,,2.0,0.0
31,Image Captioning with Context-Aware Auxiliary Guidance,Institute of Information Engineering,University of Chinese Academy of Sciences,Institute of Information Engineering,University of Chinese Academy of Sciences,University of Science and Technology of China,Institute of Information Engineering,University of Chinese Academy of Sciences,,,,,,,,,,,,,,,,7.0,0.0
32,Bringing UMAP Closer to the Speed of Light with GPU Acceleration,"University of Maryland, Baltimore County","University of Maryland, Baltimore County",Booz Allen Hamilton (United States),"University of Maryland, Baltimore County",,,,,,,,,,,,,,,,,,,3.0,1.0
33,Decentralized Multi-Agent Linear Bandits with Safety Constraints,"University of California, Los Angeles",University of British Columbia,,,,,,,,,,,,,,,,,,,,,2.0,0.0
34,Deep Transfer Tensor Decomposition with Orthogonal Constraint for Recommender Systems,Zhejiang University,Westlake University,University of Chicago,Westlake University,,,,,,,,,,,,,,,,,,,4.0,0.0
35,"Writing Polishment with Simile: Task, Dataset and A Neural Approach","Xiaomi AI Lab, Beijing, Chin","Xiaomi AI Lab, Beijing, Chin","Xiaomi AI Lab, Beijing, Chin","Xiaomi AI Lab, Beijing, Chin","Xiaomi AI Lab, Beijing, Chin","Xiaomi AI Lab, Beijing, Chin","Xiaomi AI Lab, Beijing, Chin",,,,,,,,,,,,,,,,0.0,7.0
36,Conversational Neuro-Symbolic Commonsense Reasoning,Carnegie Mellon University,Carnegie Mellon University,Ariel University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,5.0,0.0
37,An Information-Theoretic Framework for Unifying Active Learning Problems,National University of Singapore,National University of Singapore,Massachusetts Institute of Technology,,,,,,,,,,,,,,,,,,,,3.0,0.0
