Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,inst26,num_academia,num_company
0,Learning the Dynamics of Visual Relational Reasoning via Reinforced Path Routing,Beijing Institute of Technology,Beijing Institute of Technology,Beijing Institute of Technology,Beijing Institute of Technology,University of Adelaide,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
1,Confidence Calibration for Intent Detection via Hyperspherical Space and Rebalanced Accuracy-Uncertainty Loss,Peking University,Peking University,Peking University,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
2,FInfer: Frame Inference-Based Deepfake Detection for High-Visual-Quality Videos,Hunan University,Hunan University,Hunan University,University of Science and Technology of China,Hunan University,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
3,Incorporating Constituent Syntax for Coreference Resolution,University of Melbourne,University of Melbourne,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
4,Compilation of Aggregates in ASP Systems,University of Calabria,University of Calabria,University of Calabria,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
5,A Fast Local Search Algorithm for the Latin Square Completion Problem,Northeast Normal University,Northeast Normal University,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
6,I Can Find You! Boundary-Guided Separated Attention Network for Camouflaged Object Detection,Nanjing University of Aeronautics and Astronautics,Nanjing Medical University,Nanjing University of Aeronautics and Astronautics,Nanjing Medical University,Lingnan University,Nanjing University of Aeronautics and Astronautics,Nanjing Medical University,Nanjing University of Aeronautics and Astronautics,Nanjing Medical University,Huawei Technologies (China),Nanjing University of Aeronautics and Astronautics,Nanjing Medical University,Hong Kong Polytechnic University,,,,,,,,,,,,,,12.0,1.0
7,Reference-Guided Pseudo-Label Generation for Medical Semantic Segmentation,Karlsruhe Institute of Technology,Karlsruhe Institute of Technology,University of Duisburg-Essen,Karlsruhe Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
8,Online Elicitation of Necessarily Optimal Matchings,Technical University of Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
9,Boost Supervised Pretraining for Visual Transfer Learning: Implications of Self-Supervised Contrastive Representation Learning,Xiamen University,Tencent Healthcare (China),Tencent Healthcare (China),Tencent Healthcare (China),Xiamen University,Tencent Healthcare (China),,,,,,,,,,,,,,,,,,,,,2.0,0.0
10,Learning Auxiliary Monocular Contexts Helps Monocular 3D Object Detection,North Carolina State University,Wuhan University,North Carolina State University,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
11,Knowledge Distillation via Constrained Variational Inference,Massachusetts Institute of Technology,University of Pittsburgh,University of Pittsburgh,Massachusetts Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
12,Molecular Contrastive Learning with Chemical Element Knowledge Graph,Zhejiang University,Zhejiang University, AZFT Joint Lab for Knowledge Engin,Zhejiang University,Zhejiang University, AZFT Joint Lab for Knowledge Engin,Zhejiang University,Zhejiang University, AZFT Joint Lab for Knowledge Engin,Zhejiang University,Zhejiang University, AZFT Joint Lab for Knowledge Engin,Zhejiang University, AZFT Joint Lab for Knowledge Engin,Zhejiang University,Zhejiang University,Zhejiang University, AZFT Joint Lab for Knowledge Engin,Zhejiang University,Zhejiang University, AZFT Joint Lab for Knowledge Engin,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University, AZFT Joint Lab for Knowledge Engin,10.0,0.0
13,Conditional Loss and Deep Euler Scheme for Time Series Generation,Université Gustave Eiffel,Électricité de France (France), FiME (Laboratoire de Finance des Marchés de l'Energi,Électricité de France (France), FiME (Laboratoire de Finance des Marchés de l'Energi,Université Gustave Eiffel,,,,,,,,,,,,,,,,,,,,,2.0,2.0
14,Uncertainty-Driven Dehazing Network,Xiamen University, Huawei Noah's Ark La,Xiamen University,Xiamen University,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
15,Online Task Assignment Problems with Reusable Resources,Tokyo Institute of Technology,New England College,New England College,RIKEN,Chuo University,Keio University,National Institute of Informatics,,,,,,,,,,,,,,,,,,,,7.0,0.0
16,GNN-Retro: Retrosynthetic Planning with Graph Neural Networks,University of Electronic Science and Technology of China,King Abdullah University of Science and Technology,Aalborg University, Tencent AI La, Tencent AI La, Tencent AI La, Tencent AI La,University of Electronic Science and Technology of China,Shanghai Jiao Tong University,King Abdullah University of Science and Technology,University of Notre Dame,,,,,,,,,,,,,,,,7.0,0.0
