Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,num_academia,num_company
0,Efficient Reasoning in Proper Knowledge Bases with Unknown Individuals,Sapienza University of Rome,York University,University of Toronto,,,,,,,,,,3.0,0.0
1,Refutation in Dummett Logic Using a Sign to Express the Truth at the Next Possible World,University of Milano-Bicocca,,,,,,,,,,,,1.0,0.0
2,Natural Language Processing,,,,,,,,,,,,,0.0,0.0
3,Effective and Efficient Microprocessor Design Space Exploration Using Unlabeled Design Configurations *,Chinese Academy of Sciences," Loongson Technologies Corporation Limited, Beijing 100190, Chin",University of Chinese Academy of Sciences,Chinese Academy of Sciences," Loongson Technologies Corporation Limited, Beijing 100190, Chin",Chinese Academy of Sciences,Nanjing University," Loongson Technologies Corporation Limited, Beijing 100190, Chin",Chinese Academy of Sciences,Chinese Academy of Sciences," Loongson Technologies Corporation Limited, Beijing 100190, Chin",,2.0,4.0
4,Enhancing Case Adaptation with Introspective Reasoning and Web Mining,Indiana University,Indiana University,,,,,,,,,,,2.0,0.0
5,Theoretical Justification of Popular Link Prediction Heuristics,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,3.0,0.0
6,The Complexity of Safe Manipulation under Scoring Rules,University of Auckland,Nanyang Technological University,Nanyang Technological University,University of Auckland,,,,,,,,,4.0,0.0
7,On the Complexity of the Core over Coalition Structures,University of Calabria,University of Calabria,University of Calabria,University of Calabria,,,,,,,,,4.0,0.0
8,Cross-Domain Collaborative Filtering over Time,University of Technology Sydney,University of Technology Sydney,Fudan University,University of Technology Sydney,Fudan University,Hefei University of Technology,University of Vermont,,,,,,7.0,0.0
9,Special Track on Integrated and Embedded Artificial Intelligence,,,,,,,,,,,,,0.0,0.0
10,Relation Adaptation: Learning to Extract Novel Relations with Minimum Supervision,The University of Tokyo,The University of Tokyo,The University of Tokyo,,,,,,,,,,3.0,0.0
11,Rational Deployment of CSP Heuristics,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,,,,,,,,,,,2.0,0.0
12,Description Logics over Lattices with Multi-Valued Ontologies,,,,,,,,,,,,,0.0,0.0
13,Kinship Verification through Transfer Learning,"University at Buffalo, State University of New York","and Southeast University, Chin","University at Buffalo, State University of New York",,,,,,,,,,2.0,0.0
14,Finite Model Computation via Answer Set Programming,Simon Fraser University,Griffith University,University of Potsdam,,,,,,,,,,3.0,0.0
15,AstonCAT-Plus: An Efficient Specialist for the TAC Market Design Tournament,Aston University,Aston University,University of Hong Kong,,,,,,,,,,3.0,0.0
16,Approximately Strategy-Proof Voting,Cornell University,Cornell University,,,,,,,,,,,2.0,0.0
17,Bayesian Policy Search with Policy Priors, BCS / CSAIL Massachusetts Institute of Technolog,Stanford University, BCS / CSAIL Massachusetts Institute of Technolog, BCS / CSAIL Massachusetts Institute of Technolog, BCS / CSAIL Massachusetts Institute of Technolog,,,,,,,,5.0,0.0
18,Just an Artifact: Why Machines Are Perceived as Moral Agents *,University of Bath,University of Bath,,,,,,,,,,,2.0,0.0
19,Relevance Feedback between Web Search and the Semantic Web,University of Edinburgh,University of Edinburgh,,,,,,,,,,,2.0,0.0
20,Eliciting Additive Reward Functions for Markov Decision Processes,Computer Science Department,Computer Science Department,,,,,,,,,,,2.0,0.0
21,First-Order Extension of the FLP Stable Model Semantics via Modified Circumscription,Arizona State University,Arizona State University,Arizona State University,,,,,,,,,,3.0,0.0
22,Increasing the Scalability of the Fitting of Generalised Block Models for Social Networks,Ollscoil na Gaillimhe – University of Galway,Ollscoil na Gaillimhe – University of Galway,Ollscoil na Gaillimhe – University of Galway,,,,,,,,,,3.0,0.0
23,Generative Structure Learning for Markov Logic Networks Based on Graph of Predicates,University of Orléans,University of Orléans,Sorbonne University,,,,,,,,,,3.0,0.0
24,Generalized Planning: Synthesizing Plans that Work for Multiple Environments,University of Toronto,Sapienza University of Rome,,,,,,,,,,,2.0,0.0
25,Learning for Deep Language Understanding,"Rutgers, The State University of New Jersey",,,,,,,,,,,,1.0,0.0
26,Matching Large Ontologies Based on Reduction Anchors,Southeast University,Nanjing University,Nanjing University,,,,,,,,,,3.0,0.0
27,LIMES -A Time-Efficient Approach for Large-Scale Link Discovery on the Web of Data,Leipzig University,Leipzig University,,,,,,,,,,,2.0,0.0
28,Concept Labeling: Building Text Classifiers with Minimal Supervision,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,,,,,,,,,4.0,0.0
