Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,inst26,inst27,inst28,inst29,inst30,inst31,inst32,inst33,inst34,num_academia,num_company
0,A Soft Version of Predicate Invention Based on Structured Sparsity,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
1,Constrained Information-Theoretic Tripartite Graph Clustering to Identify Semantically Similar Relations,Peking University,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,Rensselaer Polytechnic Institute,Peking University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
2,Medical Synonym Extraction with Concept Space Models,"Research Lab 1101 Kitchawan Rd Yorktown Heights, New York 1059","Research Lab 1101 Kitchawan Rd Yorktown Heights, New York 1059","Research Lab 1101 Kitchawan Rd Yorktown Heights, New York 1059","Research Lab 1101 Kitchawan Rd Yorktown Heights, New York 1059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0
3,Discriminative Reordering Model Adaptation via Structural Learning,Xiamen University,Soochow University,Xiamen University,Soochow University,Xiamen University,Soochow University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
4,Web Page Classification Based on Uncorrelated Semi-Supervised Intra-View and Inter-View Manifold Discriminant Feature Extraction,Wuhan University,Nanjing University of Posts and Telecommunications,Wuhan University,Nanjing University of Posts and Telecommunications,Wuhan University,Nanjing University of Posts and Telecommunications,Wuhan University,Wuhan University,Nanjing University of Posts and Telecommunications,Nanjing University of Aeronautics and Astronautics,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0
5,Influence Maximization in Big Networks: An Incremental Algorithm for Streaming Subgraph Influence Spread Estimation,Chinese Academy of Sciences,University of Technology Sydney,Institute of Information Engineering,Institute of Information Engineering,Institute of Information Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
6,Prime Compilation of Non-Clausal Formulae,University College Dublin,Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento,Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento,Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento,University College Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
7,Did You Know? -Mining Interesting Trivia for Entities from Wikipedia,Indian Institute of Technology Roorkee,Microsoft (India),Indian Institute of Technology Roorkee,Microsoft (India),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0
8,Belief Revision and Progression of Knowledge Bases in the Epistemic Situation Calculus,RWTH Aachen University,RWTH Aachen University,UNSW Sydney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
9,Solving QBF by Clause Selection *,Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento,Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento,University College Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
10,Multi-Armed Bandits for Adaptive Constraint Propagation *,Antes,French National Centre for Scientific Research,French National Centre for Scientific Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
