Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,num_academia,num_company
0,Disambiguating Energy Disaggregation: A Collective Probabilistic Approach,"University of California, Santa Cruz","University of California, Santa Cruz","University of California, Santa Cruz",,,,,,,,,,,,,3.0,0.0
1,Tensor Decomposition with Missing Indices,National Institute of Advanced Industrial Science and Technology,National Institute of Advanced Industrial Science and Technology,,,,,,,,,,,,,,2.0,0.0
2,"Search and Learn: On Dead-End Detectors, the Traps they Set, and Trap Learning",Saarland University,Saarland University,,,,,,,,,,,,,,2.0,0.0
3,On Creating Complementary Pattern Databases,University of Huddersfield,Saarland University,Universidade Federal de Viçosa,Auckland University of Technology,,,,,,,,,,,,4.0,0.0
4,Computing an Approximately Optimal Agreeable Set of Items,"University of California, Berkeley",Stanford University,,,,,,,,,,,,,,2.0,0.0
5,Unsupervised Learning of Deep Feature Representation for Clustering Egocentric Actions,Indraprastha Institute of Information Technology Delhi,Indraprastha Institute of Information Technology Delhi,Indraprastha Institute of Information Technology Delhi,International Institute of Information Technology,,,,,,,,,,,,4.0,0.0
6,Optimal Feature Selection for Decision Robustness in Bayesian Networks,California State University Los Angeles,California State University Los Angeles,California State University Los Angeles,,,,,,,,,,,,,3.0,0.0
7,Maximizing Awareness about HIV in Social Networks of Homeless Youth with Limited Information,University of Southern California,Trinity University,Trinity University,University of Southern California,University of Southern California,University of Southern California,,,,,,,,,,6.0,0.0
8,Approximate Value Iteration with Temporally Extended Actions,DeepMind (United Kingdom),Technion – Israel Institute of Technology,McGill University,,,,,,,,,,,,,2.0,1.0
9,Hybrid Neural Networks for Learning the Trend in Time Series,École Polytechnique Fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,,,,,,,,,,,,,3.0,0.0
10,Online Robust Low-Rank Tensor Learning,Hangzhou Dianzi University,National University of Singapore,National University of Singapore,National University of Singapore,Hefei University of Technology,Hangzhou Dianzi University,National University of Singapore, Qihoo 360 Artificial Intelligence Institut,,,,,,,,7.0,0.0
11,Efficient Techniques for Crowdsourced Top-k Lists,Paris Dauphine University,Paris Descartes University,University of Amsterdam,Sorbonne University,Paris Descartes University,,,,,,,,,,,3.0,0.0
12,Image-embodied Knowledge Representation Learning,University of Computer Studies Yangon,Tsinghua University,University of Computer Studies Yangon,Tsinghua University,Jiangsu Normal University,University of Computer Studies Yangon,Tsinghua University,University of Computer Studies Yangon,Tsinghua University,Jiangsu Normal University,,,,,,10.0,0.0
13,Incremental Matrix Factorization: A Linear Feature Transformation Perspective," Anhui Province Key Lab. of Big Data Analysis and Application, University of S&T of Chin",Hefei University of Technology, Baidu Talent Intelligence Cente," Anhui Province Key Lab. of Big Data Analysis and Application, University of S&T of Chin"," Anhui Province Key Lab. of Big Data Analysis and Application, University of S&T of Chin"," Anhui Province Key Lab. of Big Data Analysis and Application, University of S&T of Chin",,,,,,,,,,1.0,0.0
14,Exploration of Tree-based Hierarchical Softmax for Recurrent Language Models,Beihang University,Beihang University,Beihang University,Beihang University,Chongqing University,Université de Montréal,Beihang University,Beihang University,,,,,,,,8.0,0.0
15,Convergence and Quality of Iterative Voting Under Non-Scoring Rules,Hebrew University of Jerusalem,University of Toronto,University of Toronto,Hebrew University of Jerusalem,,,,,,,,,,,,4.0,0.0
16,Search Strategies as Synchronous Processes (Extended Abstract),Marie Curie,,,,,,,,,,,,,,,1.0,0.0
17,See Without Looking: Joint Visualization of Sensitive Multi-site Datasets *,Lappeenranta-Lahti University of Technology,Mind Research Network,Lappeenranta-Lahti University of Technology,Mind Research Network,Mind Research Network,Lappeenranta-Lahti University of Technology,Mind Research Network,,,,,,,,,4.0,0.0
18,Stacking With Auxiliary Features,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,,,,2.0,0.0
