Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,num_academia,num_company
0,ISLF: Interest Shift and Latent Factors Combination Model for Session-based Recommendation,Sun Yat-sen University,Sun Yat-sen University,University of Adelaide,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,,,,,,,,,,,,,,,,,,7.0,0.0
1,"A Survey on Hierarchical Planning -One Abstract Idea, Many Concrete Realizations",University of Ulm,Mitre (United States),University of Ulm,,,,,,,,,,,,,,,,,,,,,,2.0,1.0
2,Meta-Interpretive Learning Using HEX-Programs *,University of Vienna,University of Vienna,National Institute of Informatics,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
3,Fine-grained Event Categorization with Heterogeneous Graph Convolutional Networks,Beihang University,Beihang University,Beihang University,Beihang University,Beihang University,Beihang University,Hong Kong University of Science and Technology,Beihang University,Beihang University," Platform and Content Group, Tencen",University of Washington,University of Illinois at Chicago,,,,,,,,,,,,,11.0,0.0
4,AddGraph: Anomaly Detection in Dynamic Graph Using Attention-based Temporal GCN,Ministry of Education,Peking University,Alibaba Group (China),Alibaba Group (China),Ministry of Education,Peking University,Alibaba Group (China),,,,,,,,,,,,,,,,,,4.0,3.0
5,Attributed Graph Clustering via Adaptive Graph Convolution,Hong Kong Polytechnic University,Hong Kong Polytechnic University,Hong Kong Polytechnic University,Hong Kong Polytechnic University,,,,,,,,,,,,,,,,,,,,,4.0,0.0
6,"Swarm Engineering Through Quantitative Measurement of Swarm Robotic Principles in a 10,000 Robot Swarm","Department of Computer Science and Engineering, University of Minnesot","Department of Computer Science and Engineering, University of Minnesot",,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
7,Fast and Accurate Classification with a Multi-Spike Learning Algorithm for Spiking Neurons,Sichuan University,Tianjin University,Sichuan University,Sichuan University,Zhejiang University,,,,,,,,,,,,,,,,,,,,5.0,0.0
8,Reasoning about Disclosure in Data Integration in the Presence of Source Constraints,University of Oxford,University of Lille,University of Lille,Département d'Informatique,,,,,,,,,,,,,,,,,,,,,4.0,0.0
9,DeepRec: An Open-source Toolkit for Deep Learning based Recommendation,UNSW Sydney,Nanyang Technological University,UNSW Sydney,Zhengzhou University,Nanyang Technological University,,,,,,,,,,,,,,,,,,,,5.0,0.0
10,Adversarial Transfer for Named Entity Boundary Detection with Pointer Networks,Inception Institute of Artificial Intelligence," Tencent AI Lab, Shenzhen, Chin",Inception Institute of Artificial Intelligence,,,,,,,,,,,,,,,,,,,,,,0.0,3.0
11,Learn to Select via Hierarchical Gate Mechanism for Aspect-Based Sentiment Analysis,Nanjing University,Nanjing University,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
12,Hybrid Actor-Critic Reinforcement Learning in Parameterized Action Space,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,,,,,,,,,,,,,,,,,,,,,4.0,0.0
13,Extrapolating Paths with Graph Neural Networks,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
14,Safe Contextual Bayesian Optimization for Sustainable Room Temperature PID Control Tuning,ETH Zurich,Siemens (Switzerland),ETH Zurich,Siemens (Switzerland),Siemens (Switzerland),ETH Zurich,,,,,,,,,,,,,,,,,,,3.0,3.0
15,Evaluating the Interpretability of the Knowledge Compilation Map: Communicating Logical Statements Effectively, MIT Computer Science and Artificial Intelligence Laborator,IBM Research - China, MIT-IBM Watson AI La, MIT Computer Science and Artificial Intelligence Laborator,,,,,,,,,,,,,,,,,,,,,1.0,2.0
16,FABA: An Algorithm for Fast Aggregation against Byzantine Attacks in Distributed Neural Networks,William & Mary,William & Mary,William & Mary,William & Mary,,,,,,,,,,,,,,,,,,,,,4.0,0.0
17,Lower Bound of Locally Differentially Private Sparse Covariance Matrix Estimation *,"University at Buffalo, State University of New York","University at Buffalo, State University of New York",,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
18,Robust Flexible Feature Selection via Exclusive L21 Regularization,The University of Texas at Arlington,The University of Texas at Arlington,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
19,Graph WaveNet for Deep Spatial-Temporal Graph Modeling,University of Technology Sydney,Monash University,University of Technology Sydney,University of Technology Sydney,University of Technology Sydney,,,,,,,,,,,,,,,,,,,,5.0,0.0
20,Human-in-the-loop Active Covariance Learning for Improving Prediction in Small Data Sets,Helsinki Institute for Information Technology,Helsinki Institute for Information Technology,Helsinki Institute for Information Technology,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
21,Reallocating Multiple Facilities on the Line,National Technical University of Athens,National Technical University of Athens,National Technical University of Athens,Sapienza University of Rome,National Technical University of Athens,National Technical University of Athens,,,,,,,,,,,,,,,,,,,6.0,0.0
22,Vision beyond Pixels: Visual Reasoning via Blocksworld Abstractions,Arizona State University,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
23,Optimizing Interactive Systems with Data-Driven Objectives,University of Amsterdam,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
24,Regular Decision Processes: A Model for Non-Markovian Domains,Ben-Gurion University of the Negev,Sapienza University of Rome,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
25,Fair Online Allocation of Perishable Goods and its Application to Electric Vehicle Charging,University of Southampton,University of Southampton,Commonwealth Scientific and Industrial Research Organisation,Commonwealth Scientific and Industrial Research Organisation,University of Southampton,Tulane University,Commonwealth Scientific and Industrial Research Organisation,,,,,,,,,,,,,,,,,,7.0,0.0
26,Submodular Batch Selection for Training Deep Neural Networks,Indian Institute of Technology Hyderabad,Indian Institute of Technology Hyderabad,Indian Institute of Technology Hyderabad,Indian Institute of Technology Hyderabad,,,,,,,,,,,,,,,,,,,,,4.0,0.0
27,Convolutional Gaussian Embeddings for Personalized Recommendation with Uncertainty,Fudan University,Fudan University,Fudan University," Shanghai Institute of Intelligent Electronics & Systems, Chin",Fudan University,,,,,,,,,,,,,,,,,,,,4.0,0.0
28,Recent Advances in Imitation Learning from Observation,The University of Texas at Austin,United States Army Research Laboratory,The University of Texas at Austin,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
29,AI Planning for Enterprise: Putting Theory Into Practice,IBM Research - China,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
30,Deep Light-field-driven Saliency Detection from a Single View,Dalian University of Technology,Dalian University of Technology,Dalian University of Technology,Dalian University of Technology,Dalian University of Technology,Dalian University of Technology,,,,,,,,,,,,,,,,,,,6.0,0.0
31,Convolutional Auto-encoding of Sentence Topics for Image Paragraph Generation *,Nanjing University of Science and Technology," JD AI Research, Beijing, Chin"," JD AI Research, Beijing, Chin",Nanjing University of Science and Technology," JD AI Research, Beijing, Chin",,,,,,,,,,,,,,,,,,,,2.0,3.0
32,Learning for Tail Label Data: A Label-Specific Feature Approach,Nanjing University," 4Paradigm Inc., Beijing, Chin",Nanjing University,,,,,,,,,,,,,,,,,,,,,,2.0,1.0
33,> REPLACE THIS LINE WITH YOUR PAPER IDENTIFICATION NUMBER (DOUBLE-CLICK HERE TO EDIT) <," Department of PCG, Tencen",Xi'an Jiaotong University," Department of PCG, Tencen",Xi'an Jiaotong University, Tencent AI La," Department of PCG, Tencen"," Department of PCG, Tencen"," Department of PCG, Tencen",,,,,,,,,,,,,,,,,2.0,0.0
34,Optimal Exploitation of Clustering and History Information in Multi-Armed Bandit,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,,,,,,,,,,,,,,,,,,,,,4.0,0.0
35,Anytime Heuristic for Weighted Matching Through Altruism-Inspired Behavior,École Polytechnique Fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,École Polytechnique Fédérale de Lausanne,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
36,Dispatching Through Pricing: Modeling Ride-Sharing and Designing Dynamic Prices,Tsinghua University,Tsinghua University,Tsinghua University, Google Researc,,,,,,,,,,,,,,,,,,,,,3.0,1.0
37,Early Discovery of Emerging Entities in Microblogs,The University of Tokyo,The University of Tokyo,The University of Tokyo,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
38,Learning Low-precision Neural Networks without Straight-Through Estimator (STE),Arm Machine Learning Research La,Arm Machine Learning Research La,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
39,Weakly Supervised Multi-Label Learning via Label Enhancement,Southeast University,Southeast University,Southeast University,Southeast University,,,,,,,,,,,,,,,,,,,,,4.0,0.0
40,Truly Batch Apprenticeship Learning with Deep Successor Features *,Harvard University,Harvard University,Harvard University,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
41,Pose-preserving Cross-spectral Face Hallucination,Chinese Academy of Sciences,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Institute of Technology of Cambodia,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Center for Excellence in Brain Science and Intelligence Technology,,,,,,,,,,,,,,,,9.0,0.0
42,Enumerating Potential Maximal Cliques via SAT and ASP,University of Helsinki,University of Helsinki,University of Helsinki,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
43,Transfer of Temporal Logic Formulas in Reinforcement Learning,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
44,BPAM: Recommendation Based on BP Neural Network with Attention Mechanism,Sun Yat-sen University,Key Laboratory of Guangdong Province,Sun Yat-sen University,Key Laboratory of Guangdong Province,Sun Yat-sen University,Key Laboratory of Guangdong Province,Sun Yat-sen University,Sun Yat-sen University,,,,,,,,,,,,,,,,,8.0,0.0
