Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,inst26,inst27,num_academia,num_company
0,Multi-Class Imbalanced Graph Convolutional Network Learning,Florida Atlantic University,Florida Atlantic University,Florida Atlantic University,Florida Atlantic University,Hunan University of Science and Technology,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
1,EndCold: An End-to-End Framework for Cold Question Routing in Community Question Answering Services,The Ohio State University,The Ohio State University,The Ohio State University,The Ohio State University,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
2,A Quantum-inspired Entropic Kernel for Multiple Financial Time Series Analysis,Central University of Finance and Economics,Central University of Finance and Economics,Central University of Finance and Economics,Central University of Finance and Economics,Central University of Finance and Economics," State Key Laboratory of Cognitive Intelligence, iFLYTEK, Hefei, Chin",Central University of Finance and Economics,University of York,,,,,,,,,,,,,,,,,,,,4.0,1.0
3,Cross-Interaction Hierarchical Attention Networks for Urban Anomaly Prediction,Brandeis University,Brandeis University,Brandeis University,JD Finance America Corporatio,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
4,Model-Free Real-Time Autonomous Energy Management for a Residential Multi-Carrier Energy System: A Deep Reinforcement Learning Approach,Imperial College London," Fetch.ai, Cambridge, U.K",Imperial College London," Fetch.ai, Cambridge, U.K"," Fetch.ai, Cambridge, U.K",,,,,,,,,,,,,,,,,,,,,,,1.0,3.0
5,BANANA: when Behavior ANAlysis meets social Network Alignment,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Florida State University,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,,,,,,,,,,,,,,,,,,,,,7.0,0.0
6,Incorporating Failure Events in Agents' Decision Making to Improve User Satisfaction,Bar-Ilan University,Bar-Ilan University,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
7,Variable Elimination in Binary CSPs (Extended Abstract) *,University of Toulouse," H & H: Research and Training, Marseille, Franc",Aix-Marseille University,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
8,Language Independent Sequence Labelling for Opinion Target Extraction,University of the Basque Country,University of the Basque Country,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
9,Randomised Gaussian Process Upper Confidence Bound for Bayesian Optimisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
10,Knowledge Hypergraphs: Prediction Beyond Binary Relations *,University of British Columbia,Academy for Five Element Acupuncture,Academy for Five Element Acupuncture,Academy for Five Element Acupuncture,University of British Columbia,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
11,Explanation Perspectives from the Cognitive Sciences-A Survey,Fujitsu Laboratories of Americ,Fujitsu Laboratories of Americ,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
12,Deep Visuo-Tactile Learning: Estimation of Tactile Properties from Images (Extended Abstract) *,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
13,Generating Robust Audio Adversarial Examples with Temporal Dependency,Huazhong University of Science and Technology,Huazhong University of Science and Technology,Michigan State University,Columbia University,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
14,Adversarial Oracular Seq2seq Learning for Sequential Recommendation,Peking University,Peking University,Peking University,Peking University,Peking University,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
15,Stabilizing Adversarial Invariance Induction from Divergence Minimization Perspective,The University of Tokyo,The University of Tokyo,The University of Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
16,Tight Approximation for Proportional Approval Voting,University of Wrocław," Google Research, U",University of Wrocław,University of Wrocław,Ben-Gurion University of the Negev,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0
17,Keep It Real: a Window to Real Reality in Virtual Reality,Columbia University,University of Washington,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
18,Lossless Semantic Round-Tripping in PENG ASP,Macquarie University,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
19,"Optimality, Accuracy, and Efficiency of an Exact Functional Test",New Mexico State University,Pennsylvania State University,New Mexico State University,Fred Hutchinson Cancer Center,New Mexico State University,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
20,Understanding the Power and Limitations of Teaching with Imperfect Knowledge,Max Planck Institute for Software Systems,Max Planck Institute for Software Systems,ETH Zurich,University of Chicago,Max Planck Institute for Software Systems,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
21,Unsupervised Vehicle Re-identification with Progressive Adaptation,Dalian Maritime University,Shenzhen University,Hefei University of Technology,Hefei University of Technology,Dalian Maritime University,Shenzhen University,Hefei University of Technology,Hefei University of Technology,Dalian Maritime University,Shenzhen University,Hefei University of Technology,Hefei University of Technology,,,,,,,,,,,,,,,,12.0,0.0
22,Polar Relative Positional Encoding for Video-Language Segmentation,Zhejiang University, Huawei Noah's Ark La,Zhejiang University, Huawei Noah's Ark La,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
23,CoSDA-ML: Multi-Lingual Code-Switching Data Augmentation for Zero-Shot Cross-Lingual NLP,Harbin Institute of Technology,Harbin Institute of Technology,Westlake University,EarthTech International (United States),Harbin Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
24,Text Style Transfer via Learning Style Instance Supported Latent Space,Tsinghua University,Tsinghua University,University of Washington,Tsinghua University,Tsinghua University,University of Washington,Tsinghua University,Tsinghua University,Tsinghua University,Shanghai Normal University,,,,,,,,,,,,,,,,,,9.0,0.0
25,Positive Unlabeled Learning with Class-prior Approximation,Wuhan University of Technology,Wuhan University of Technology,Wuhan University of Technology,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
26,Synthesis of Deceptive Strategies in Reachability Games with Action Misperception,Worcester Polytechnic Institute,Worcester Polytechnic Institute,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
27,"Ethics, Prosperity and Society: Moral Evaluation Using Virtue Ethics And Utilitarianism",International Institute of Information Technology Bangalore,International Institute of Information Technology Bangalore,International Institute of Information Technology Bangalore,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
28,BaKer-Nets: Bayesian Random Kernel Mapping Networks,Southeast University,Southeast University,Southeast University,Southeast University,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
29,MULTIPOLAR: Multi-Source Policy Aggregation for Transfer Reinforcement Learning between Diverse Environmental Dynamics,Technical University of Munich,Technical University of Munich,Technical University of Munich,Technical University of Munich,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
30,A Similarity Inference Metric for RGB-Infrared Cross-Modality Person Re-identification,Peking University,Peking University,Nanyang Technological University,Peking University,Peng Cheng Laboratory,Peking University,Peng Cheng Laboratory,,,,,,,,,,,,,,,,,,,,,7.0,0.0
31,Diversity of Solutions: An Exploration Through the Lens of Fixed-Parameter Tractability Theory,University of Ulm,University of Bergen,University of Bergen,University of Warsaw,Charles University,University of Bergen,Chennai Mathematical Institute,Universitas Muslim Indonesia,University of Bergen,,,,,,,,,,,,,,,,,,,9.0,0.0
32,Gated POS-Level Language Model for Authorship Verification,Institute of Information Engineering,University of Chinese Academy of Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
33,Better AMR-To-Text Generation with Graph Structure Reconstruction,King University,King University,King University,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
34,MARTHE: Scheduling the Learning Rate Via Online Hypergradients,University College London,Italian Institute of Technology,University College London,Italian Institute of Technology,University of Florence,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0
35,Flow-based Intrinsic Curiosity Module,National Tsing Hua University,National Tsing Hua University,National Tsing Hua University,National Tsing Hua University,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
36,The Knowledge Acquisition Bottleneck Problem in Multilingual Word Sense Disambiguation,Sapienza University of Rome,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
37,Beyond Intra-modality: A Survey of Heterogeneous Person Re-identification,National Institute of Informatics,National Taiwan University,National Institute of Informatics,Kyoto University,Microsoft Research Asia (China),National Institute of Informatics,,,,,,,,,,,,,,,,,,,,,,5.0,1.0
38,PEERNOMINATION: Relaxing Exactness for Increased Accuracy in Peer Selection,Tulane University," Department of Computer Science, University of Warwic"," Department of Computer Science, University of Warwic",,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
39,Partial Adversarial Behavior Deception in Security Games,University of Oregon,Singapore Management University,University of Oregon,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
40,Intelligent Virtual Machine Provisioning in Cloud Computing,Microsoft Research (India),Microsoft Research (India),Microsoft Research (India),Microsoft Research (India)," Microsoft Azure, United State",University of Newcastle Australia,University of Technology Sydney," Microsoft Office, Chin",Microsoft Research (India),,,,,,,,,,,,,,,,,,,2.0,5.0
41,One-Shot Neural Architecture Search via Novelty Driven Sampling,Beijing Institute of Technology,Information Technology University,Beijing Institute of Technology,Monash University,Information Technology University,Information Technology University,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
42,Smart Contract Vulnerability Detection Using Graph Neural Networks,Zhejiang Gongshang University,Zhejiang Gongshang University,Zhejiang Gongshang University,University of Oxford,National University of Singapore,Zhejiang University,,,,,,,,,,,,,,,,,,,,,,6.0,0.0
