Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,num_academia,num_company
0,Learning Aggregation Functions,University of Trento,Aalborg University,Noorul Islam University,University of Trento,Aalborg University,Aalborg University,,,,,,,,,,,,,,,5.0,0.0
1,Multi-level Generative Models for Partial Label Learning with Non-random Label Noise,Northwestern Polytechnical University,Carleton University,Canadian Institute for Advanced Research,,,,,,,,,,,,,,,,,,3.0,0.0
2,Policy Learning with Constraints in Model-free Reinforcement Learning: A Survey,"University of California, Davis","University of California, Davis", Total E&P R&T US,"University of California, Davis",,,,,,,,,,,,,,,,,3.0,0.0
3,Explanation in Constraint Satisfaction: A Survey,University College Cork,University College Cork,University College Cork,,,,,,,,,,,,,,,,,,3.0,0.0
4,Winner Determination and Strategic Control in Conditional Approval Voting,Athens University of Economics and Business,Athens University of Economics and Business,,,,,,,,,,,,,,,,,,,2.0,0.0
5,Guided Attention Network for Concept Extraction,University of Science and Technology of China,University of Science and Technology of China,Shanghai Jiao Tong University,National Institute for Communicable Disease Control and Prevention,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,,,,,,,,,,,,8.0,0.0
6,Keyword-Based Knowledge Graph Exploration Based on Quadratic Group Steiner Trees,Nanjing University,Stellenbosch University,Nanjing University,Stellenbosch University,Tsinghua University,Stellenbosch University,University of Oslo,,,,,,,,,,,,,,7.0,0.0
7,"Planning for Novelty: Width-Based Algorithms for Common Problems in Control, Planning and Reinforcement Learning",University of Melbourne,,,,,,,,,,,,,,,,,,,,1.0,0.0
8,Graph-Augmented Code Summarization in Computational Notebooks,University of Michigan–Ann Arbor,IBM Research - China,Rensselaer Polytechnic Institute,IBM Research - China,,,,,,,,,,,,,,,,,4.0,0.0
9,Variational Model-based Policy Optimization,Meta (United States),Meta (United States),Meta (United States),Meta (United States),Meta (United States),,,,,,,,,,,,,,,,0.0,5.0
10,Partial Multi-Label Optimal Margin Distribution Machine,Huazhong University of Science and Technology,Huazhong University of Science and Technology,Huazhong University of Science and Technology,,,,,,,,,,,,,,,,,,3.0,0.0
11,Bottleneck Identification to Semantic Segmentation of Industrial 3D Point Cloud Scene via Deep Learning,IMT Atlantique," Segula Technologies, Franc"," Segula Technologies, Franc",IMT Atlantique,Brest National Engineering School,,,,,,,,,,,,,,,,3.0,0.0
12,Unsupervised Learning of Probably Symmetric Deformable 3D Objects from Images in the Wild (Extended Abstract) *,University of Oxford,University of Oxford,University of Oxford,,,,,,,,,,,,,,,,,,3.0,0.0
13,GSPL: A Succinct Kernel Model for Group-Sparse Projections Learning of Multiview Data,Institute of Optics and Electronics,Northwestern Polytechnical University," Data Quality Team, WeChat, Tencent Inc., Guangdong, P. R. Chin",Institute of Optics and Electronics,Northwestern Polytechnical University," Data Quality Team, WeChat, Tencent Inc., Guangdong, P. R. Chin",Institute of Optics and Electronics,Northwestern Polytechnical University,Institute of Optics and Electronics,Northwestern Polytechnical University,Institute of Optics and Electronics,Northwestern Polytechnical University,,,,,,,,,10.0,0.0
14,HIP Network: Historical Information Passing Network for Extrapolation Reasoning on Temporal Knowledge Graph,Institute of Information Engineering,University of Chinese Academy of Sciences,Institute of Information Engineering,Institute of Information Engineering,University of Chinese Academy of Sciences,Institute of Information Engineering,Institute of Information Engineering,University of Chinese Academy of Sciences,Institute of Information Engineering,,,,,,,,,,,,9.0,0.0
15,Bounded Predicates in Description Logics with Counting,TU Wien,TU Wien,,,,,,,,,,,,,,,,,,,2.0,0.0
16,Participatory Budgeting with Project Groups,Indian Institute of Technology Jodhpur,Massachusetts Institute of Technology,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,,,,,,,,,,,,,,,,,4.0,0.0
17,SHPOS: A Theoretical Guaranteed Accelerated Particle Optimization Sampling Method,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,,,,,,,,,7.0,0.0
18,Topological Uncertainty: Monitoring Trained Neural Networks through Persistence of Activation Graphs,University of Paris-Saclay," Fujitsu Ltd., Japa",Université Côte d'Azur,University of Paris-Saclay,University of Paris-Saclay," Fujitsu Ltd., Japa",,,,,,,,,,,,,,,4.0,0.0
19,Modality-aware Style Adaptation for RGB-Infrared Person Re-Identification,Peking University Shenzhen Hospital,Peking University Shenzhen Hospital,Peking University Shenzhen Hospital,Peking University Shenzhen Hospital,Hong Kong University of Science and Technology,,,,,,,,,,,,,,,,5.0,0.0
