Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,num_academia,num_company
0,"Artificial Intelligence, Bias, and Ethics",University of Washington,,,,,,,,,,,,,,,,,1.0,0.0
1,Deep Multi-View Subspace Clustering with Anchor Graph,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,Southern University of Science and Technology,University of Electronic Science and Technology of China,Southern University of Science and Technology,University of Electronic Science and Technology of China,Lehigh University,,,,,,,,,,,7.0,0.0
2,Multi-View Robust Graph Representation Learning for Graph Classification,Beihang University,Beihang University,University of Chinese Academy of Sciences,Beihang University,Beihang University,National Computer Network Emergency Response Technical Team/Coordination Center of Chinar,,,,,,,,,,,,6.0,0.0
3,Complex Contagion Influence Maximization: A Reinforcement Learning Approach,Carnegie Mellon University,Nanyang Technological University,Nanyang Technological University,University of Southern California,Harvard University,,,,,,,,,,,,,5.0,0.0
4,Generalization through Diversity: Improving Unsupervised Environment Design,Singapore Management University,Singapore Management University,Singapore Management University,,,,,,,,,,,,,,,3.0,0.0
5,Advancing Post-Hoc Case-Based Explanation with Feature Highlighting,Massachusetts Institute of Technology,University College Dublin,Santa Fe Institute,University College Dublin,Insight,Santa Fe Institute,,,,,,,,,,,,6.0,0.0
6,CADParser: A Learning Approach of Sequence Modeling for B-Rep CAD,Beihang University,University of Waterloo,Beihang University,,,,,,,,,,,,,,,3.0,0.0
7,Unifying Core-Guided and Implicit Hitting Set Based Optimization,University of Helsinki,University of Helsinki,University of Helsinki,,,,,,,,,,,,,,,3.0,0.0
8,User-Centric Democratization towards Social Value Aligned Medical AI Services,Lancaster University,Lancaster University,,,,,,,,,,,,,,,,2.0,0.0
9,Finite Entailment of UCRPQs over ALC Ontologies (Extended Abstract) *,Cardiff University,University of Warsaw,Cardiff University,University of Warsaw,,,,,,,,,,,,,,4.0,0.0
